,DISTRICT_id,TEA District Type,TEA Description,NCES District Type,NCES Description,Charter School (Y/N),COUNTY,REGION,DISTRICT,DISTNAME,CNTYNAME,DFLCHART,DFLALTED,ASVAB_STATUS
40,13905,H,Rural,42,Rural-Distant,N,'013,'02,'013905,SKIDMORE-TYNAN ISD,BEE,N,N, 
41,14801,I,Charter Schools,12,City-Midsize,Y,'014,'20,'014801,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),BELL,Y,Y, 
42,14803,I,Charter Schools,22,Suburb-Midsize,Y,'014,'12,'014803,PRIORITY CHARTER SCHOOLS,BELL,Y,N, 
43,14804,I,Charter Schools,41,Rural-Fringe,Y,'014,'12,'014804,ORENDA CHARTER SCHOOL,BELL,Y,N, 
44,14901,G,Non-metropolitan Stable,41,Rural-Fringe,N,'014,'12,'014901,ACADEMY ISD,BELL,N,N, 
45,14902,F,Non-metropolitan Fast Growing,32,Town-Distant,N,'014,'13,'014902,BARTLETT ISD,BELL,N,N, 
46,14903,D,Other Central City Suburban,13,City-Small,N,'014,'12,'014903,BELTON ISD,BELL,N,N, 
47,14905,H,Rural,42,Rural-Distant,N,'014,'12,'014905,HOLLAND ISD,BELL,N,N, 
48,14906,C,Other Central City,12,City-Midsize,N,'014,'12,'014906,KILLEEN ISD,BELL,N,N, 
49,14907,H,Rural,42,Rural-Distant,N,'014,'12,'014907,ROGERS ISD,BELL,N,N, 
50,14908,D,Other Central City Suburban,42,Rural-Distant,N,'014,'12,'014908,SALADO ISD,BELL,N,N, 
51,14909,D,Other Central City Suburban,13,City-Small,N,'014,'12,'014909,TEMPLE ISD,BELL,N,N, 
52,14910,G,Non-metropolitan Stable,41,Rural-Fringe,N,'014,'12,'014910,TROY ISD,BELL,N,N, 
53,15801,I,Charter Schools,11,City-Large,Y,'015,'20,'015801,POR VIDA ACADEMY,BEXAR,Y,Y, 
54,15802,I,Charter Schools,11,City-Large,Y,'015,'20,'015802,GEORGE GERVIN ACADEMY,BEXAR,Y,N, 
55,15805,I,Charter Schools,11,City-Large,Y,'015,'20,'015805,NEW FRONTIERS PUBLIC SCHOOLS INC,BEXAR,Y,N, 
56,15806,I,Charter Schools,21,Suburb-Large,Y,'015,'20,'015806,LEGACY TRADITIONAL SCHOOLS - TEXAS,BEXAR,Y,N, 
57,15807,I,Charter Schools,11,City-Large,Y,'015,'20,'015807,SOUTHWEST PREPARATORY SCHOOL,BEXAR,Y,N, 
58,15808,I,Charter Schools,11,City-Large,Y,'015,'20,'015808,INSPIRE ACADEMIES,BEXAR,Y,N,ASVAB Test not Offered
59,15809,I,Charter Schools,11,City-Large,Y,'015,'20,'015809,BEXAR COUNTY ACADEMY,BEXAR,Y,N, 
60,15814,I,Charter Schools,11,City-Large,Y,'015,'20,'015814,POSITIVE SOLUTIONS CHARTER SCHOOL,BEXAR,Y,Y, 
61,15815,I,Charter Schools,33,Town-Remote,Y,'015,'20,'015815,HERITAGE ACADEMY,BEXAR,Y,Y, 
62,15822,I,Charter Schools,11,City-Large,Y,'015,'20,'015822,JUBILEE ACADEMIES,BEXAR,Y,N, 
63,15825,I,Charter Schools,11,City-Large,Y,'015,'20,'015825,LIGHTHOUSE PUBLIC SCHOOLS,BEXAR,Y,N,ASVAB Test not Offered
64,15827,I,Charter Schools,21,Suburb-Large,Y,'015,'20,'015827,SCHOOL OF SCIENCE AND TECHNOLOGY,BEXAR,Y,N, 
65,15828,I,Charter Schools,11,City-Large,Y,'015,'20,'015828,HARMONY PUBLIC SCHOOLS - SOUTH TEXAS,BEXAR,Y,N, 
66,15830,I,Charter Schools,11,City-Large,Y,'015,'20,'015830,SOMERSET ACADEMIES OF TEXAS,BEXAR,Y,N, 
67,15831,I,Charter Schools,41,Rural-Fringe,Y,'015,'20,'015831,SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,BEXAR,Y,N, 
68,15833,I,Charter Schools,11,City-Large,Y,'015,'20,'015833,HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN,BEXAR,Y,N, 
69,15834,I,Charter Schools,11,City-Large,Y,'015,'20,'015834,BASIS TEXAS,BEXAR,Y,N, 
70,15835,I,Charter Schools,11,City-Large,Y,'015,'20,'015835,GREAT HEARTS TEXAS,BEXAR,Y,N,ASVAB Test not Offered
71,15836,I,Charter Schools,11,City-Large,Y,'015,'20,'015836,ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,BEXAR,Y,N, 
72,15838,I,Charter Schools,11,City-Large,Y,'015,'20,'015838,COMPASS ROSE PUBLIC SCHOOLS,BEXAR,Y,N,ASVAB Test not Offered
73,15839,I,Charter Schools,11,City-Large,Y,'015,'20,'015839,PROMESA ACADEMY CHARTER SCHOOL,BEXAR,Y,N, 
74,15840,I,Charter Schools,11,City-Large,Y,'015,'20,'015840,SAN ANTONIO PREPARATORY SCHOOLS,BEXAR,Y,N,ASVAB Test not Offered
75,15841,I,Charter Schools,11,City-Large,Y,'015,'20,'015841,THE GATHERING PLACE,BEXAR,Y,N, 
76,15842,I,Charter Schools,11,City-Large,Y,'015,'20,'015842,ROYAL PUBLIC SCHOOLS,BEXAR,Y,N, 
77,15843,I,Charter Schools,11,City-Large,Y,'015,'20,'015843,PRELUDE PREPARATORY CHARTER SCHOOL,BEXAR,Y,N, 
78,15844,I,Charter Schools,11,City-Large,Y,'015,'20,'015844,ESSENCE PREPARATORY CHARTER SCHOOL,BEXAR,Y,N, 
79,15901,B,Major Suburban,11,City-Large,N,'015,'20,'015901,ALAMO HEIGHTS ISD,BEXAR,N,N, 
80,15904,B,Major Suburban,11,City-Large,N,'015,'20,'015904,HARLANDALE ISD,BEXAR,N,N, 
81,15905,B,Major Suburban,11,City-Large,N,'015,'20,'015905,EDGEWOOD ISD,BEXAR,N,N, 
82,15906,D,Other Central City Suburban,41,Rural-Fringe,N,'015,'20,'015906,RANDOLPH FIELD ISD,BEXAR,N,N, 
83,15907,A,Major Urban,11,City-Large,N,'015,'20,'015907,SAN ANTONIO ISD,BEXAR,N,N, 
84,15908,B,Major Suburban,11,City-Large,N,'015,'20,'015908,SOUTH SAN ANTONIO ISD,BEXAR,N,N, 
85,15909,G,Non-metropolitan Stable,41,Rural-Fringe,N,'015,'20,'015909,SOMERSET ISD,BEXAR,N,N, 
86,15910,A,Major Urban,11,City-Large,N,'015,'20,'015910,NORTH EAST ISD,BEXAR,N,N, 
87,15911,B,Major Suburban,41,Rural-Fringe,N,'015,'20,'015911,EAST CENTRAL ISD,BEXAR,N,N, 
88,15912,B,Major Suburban,41,Rural-Fringe,N,'015,'20,'015912,SOUTHWEST ISD,BEXAR,N,N, 
89,15913,G,Non-metropolitan Stable,21,Suburb-Large,N,'015,'20,'015913,LACKLAND ISD,BEXAR,N,N, 
90,15914,G,Non-metropolitan Stable,11,City-Large,N,'015,'20,'015914,FT SAM HOUSTON ISD,BEXAR,N,N, 
91,15915,A,Major Urban,11,City-Large,N,'015,'20,'015915,NORTHSIDE ISD,BEXAR,N,N,ASVAB Alternative Test Offered
92,15916,B,Major Suburban,21,Suburb-Large,N,'015,'20,'015916,JUDSON ISD,BEXAR,N,N, 
93,15917,B,Major Suburban,41,Rural-Fringe,N,'015,'20,'015917,SOUTHSIDE ISD,BEXAR,N,N, 
94,16901,H,Rural,42,Rural-Distant,N,'016,'13,'016901,JOHNSON CITY ISD,BLANCO,N,N, 
95,16902,G,Non-metropolitan Stable,42,Rural-Distant,N,'016,'13,'016902,BLANCO ISD,BLANCO,N,N, 
96,17901,H,Rural,43,Rural-Remote,N,'017,'17,'017901,BORDEN COUNTY ISD,BORDEN,N,N, 
97,18901,G,Non-metropolitan Stable,32,Town-Distant,N,'018,'12,'018901,CLIFTON ISD,BOSQUE,N,N, 
98,18902,H,Rural,43,Rural-Remote,N,'018,'12,'018902,MERIDIAN ISD,BOSQUE,N,N, 
99,18903,H,Rural,43,Rural-Remote,N,'018,'12,'018903,MORGAN ISD,BOSQUE,N,N, 
100,18904,H,Rural,42,Rural-Distant,N,'018,'12,'018904,VALLEY MILLS ISD,BOSQUE,N,N, 
101,18905,H,Rural,43,Rural-Remote,N,'018,'12,'018905,WALNUT SPRINGS ISD,BOSQUE,N,N, 
102,18906,H,Rural,43,Rural-Remote,N,'018,'12,'018906,IREDELL ISD,BOSQUE,N,N, 
103,18907,H,Rural,43,Rural-Remote,N,'018,'12,'018907,KOPPERL ISD,BOSQUE,N,N, 
104,18908,H,Rural,43,Rural-Remote,N,'018,'12,'018908,CRANFILLS GAP ISD,BOSQUE,N,N, 
105,19901,H,Rural,42,Rural-Distant,N,'019,'08,'019901,DEKALB ISD,BOWIE,N,N, 
106,19902,G,Non-metropolitan Stable,31,Town-Fringe,N,'019,'08,'019902,HOOKS ISD,BOWIE,N,N, 
107,19903,H,Rural,42,Rural-Distant,N,'019,'08,'019903,MAUD ISD,BOWIE,N,N, 
108,19905,G,Non-metropolitan Stable,32,Town-Distant,N,'019,'08,'019905,NEW BOSTON ISD,BOWIE,N,N, 
109,19906,G,Non-metropolitan Stable,42,Rural-Distant,N,'019,'08,'019906,REDWATER ISD,BOWIE,N,N, 
110,19907,E,Independent Town,13,City-Small,N,'019,'08,'019907,TEXARKANA ISD,BOWIE,N,N, 
111,19908,G,Non-metropolitan Stable,13,City-Small,N,'019,'08,'019908,LIBERTY-EYLAU ISD,BOWIE,N,N, 
112,19909,H,Rural,42,Rural-Distant,N,'019,'08,'019909,SIMMS ISD,BOWIE,N,N, 
113,19910,H,Rural,42,Rural-Distant,N,'019,'08,'019910,MALTA ISD,BOWIE,N,N, 
114,19911,H,Rural,23,Suburb-Small,N,'019,'08,'019911,RED LICK ISD,BOWIE,N,N, 
115,19912,G,Non-metropolitan Stable,13,City-Small,N,'019,'08,'019912,PLEASANT GROVE ISD,BOWIE,N,N, 
116,19913,H,Rural,42,Rural-Distant,N,'019,'08,'019913,HUBBARD ISD,BOWIE,N,N, 
117,19914,H,Rural,41,Rural-Fringe,N,'019,'08,'019914,LEARY ISD,BOWIE,N,N, 
118,20901,B,Major Suburban,21,Suburb-Large,N,'020,'04,'020901,ALVIN ISD,BRAZORIA,N,N, 
119,20902,D,Other Central City Suburban,41,Rural-Fringe,N,'020,'04,'020902,ANGLETON ISD,BRAZORIA,N,N, 
120,20904,H,Rural,41,Rural-Fringe,N,'020,'04,'020904,DANBURY ISD,BRAZORIA,N,N, 
121,20905,D,Other Central City Suburban,23,Suburb-Small,N,'020,'04,'020905,BRAZOSPORT ISD,BRAZORIA,N,N, 
122,20906,G,Non-metropolitan Stable,32,Town-Distant,N,'020,'04,'020906,SWEENY ISD,BRAZORIA,N,N, 
123,20907,G,Non-metropolitan Stable,32,Town-Distant,N,'020,'04,'020907,COLUMBIA-BRAZORIA ISD,BRAZORIA,N,N, 
124,20908,B,Major Suburban,21,Suburb-Large,N,'020,'04,'020908,PEARLAND ISD,BRAZORIA,N,N, 
125,20910,H,Rural,42,Rural-Distant,N,'020,'04,'020910,DAMON ISD,BRAZORIA,N,N, 
126,21803,I,Charter Schools,11,City-Large,Y,'021,'06,'021803,BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,BRAZOS,Y,N, 
127,21805,I,Charter Schools,11,City-Large,Y,'021,'06,'021805,ARROW ACADEMY,BRAZOS,Y,N, 
128,21901,C,Other Central City,12,City-Midsize,N,'021,'06,'021901,COLLEGE STATION ISD,BRAZOS,N,N, 
129,21902,C,Other Central City,13,City-Small,N,'021,'06,'021902,BRYAN ISD,BRAZOS,N,N, 
130,22004,H,Rural,43,Rural-Remote,N,'022,'18,'022004,TERLINGUA CSD,BREWSTER,N,N, 
131,22901,G,Non-metropolitan Stable,33,Town-Remote,N,'022,'18,'022901,ALPINE ISD,BREWSTER,N,N, 
132,22902,H,Rural,43,Rural-Remote,N,'022,'18,'022902,MARATHON ISD,BREWSTER,N,N, 
133,22903,H,Rural,43,Rural-Remote,N,'022,'18,'022903,SAN VICENTE ISD,BREWSTER,N,N, 
134,23902,H,Rural,43,Rural-Remote,N,'023,'16,'023902,SILVERTON ISD,BRISCOE,N,N, 
135,24901,D,Other Central City Suburban,33,Town-Remote,N,'024,'01,'024901,BROOKS COUNTY ISD,BROOKS,N,N, 
136,25901,H,Rural,42,Rural-Distant,N,'025,'15,'025901,BANGS ISD,BROWN,N,N, 
137,25902,E,Independent Town,33,Town-Remote,N,'025,'15,'025902,BROWNWOOD ISD,BROWN,N,N, 
138,25904,H,Rural,42,Rural-Distant,N,'025,'15,'025904,BLANKET ISD,BROWN,N,N, 
139,25905,H,Rural,43,Rural-Remote,N,'025,'15,'025905,MAY ISD,BROWN,N,N, 
140,25906,H,Rural,42,Rural-Distant,N,'025,'15,'025906,ZEPHYR ISD,BROWN,N,N, 
141,25908,H,Rural,43,Rural-Remote,N,'025,'15,'025908,BROOKESMITH ISD,BROWN,N,N, 
142,25909,G,Non-metropolitan Stable,33,Town-Remote,N,'025,'15,'025909,EARLY ISD,BROWN,N,N, 
143,26901,D,Other Central City Suburban,41,Rural-Fringe,N,'026,'06,'026901,CALDWELL ISD,BURLESON,N,N, 
144,26902,H,Rural,42,Rural-Distant,N,'026,'06,'026902,SOMERVILLE ISD,BURLESON,N,N, 
145,26903,H,Rural,42,Rural-Distant,N,'026,'06,'026903,SNOOK ISD,BURLESON,N,N, 
146,27903,D,Other Central City Suburban,41,Rural-Fringe,N,'027,'13,'027903,BURNET CISD,BURNET,N,N, 
147,27904,E,Independent Town,32,Town-Distant,N,'027,'13,'027904,MARBLE FALLS ISD,BURNET,N,N, 
148,28902,D,Other Central City Suburban,31,Town-Fringe,N,'028,'13,'028902,LOCKHART ISD,CALDWELL,N,N, 
149,28903,G,Non-metropolitan Stable,32,Town-Distant,N,'028,'13,'028903,LULING ISD,CALDWELL,N,N, 
150,28906,H,Rural,42,Rural-Distant,N,'028,'13,'028906,PRAIRIE LEA ISD,CALDWELL,N,N, 
151,29901,G,Non-metropolitan Stable,32,Town-Distant,N,'029,'03,'029901,CALHOUN COUNTY ISD,CALHOUN,N,N, 
152,30901,H,Rural,43,Rural-Remote,N,'030,'14,'030901,CROSS PLAINS ISD,CALLAHAN,N,N, 
153,30902,D,Other Central City Suburban,32,Town-Distant,N,'030,'14,'030902,CLYDE CISD,CALLAHAN,N,N, 
154,30903,H,Rural,42,Rural-Distant,N,'030,'14,'030903,BAIRD ISD,CALLAHAN,N,N, 
155,30906,H,Rural,42,Rural-Distant,N,'030,'14,'030906,EULA ISD,CALLAHAN,N,N, 
156,31901,C,Other Central City,12,City-Midsize,N,'031,'01,'031901,BROWNSVILLE ISD,CAMERON,N,N, 
157,31903,D,Other Central City Suburban,13,City-Small,N,'031,'01,'031903,HARLINGEN CISD,CAMERON,N,N, 
158,31905,G,Non-metropolitan Stable,22,Suburb-Midsize,N,'031,'01,'031905,LA FERIA ISD,CAMERON,N,N, 
159,31906,D,Other Central City Suburban,22,Suburb-Midsize,N,'031,'01,'031906,LOS FRESNOS CISD,CAMERON,N,N, 
160,31909,D,Other Central City Suburban,32,Town-Distant,N,'031,'01,'031909,POINT ISABEL ISD,CAMERON,N,N, 
161,31911,G,Non-metropolitan Stable,41,Rural-Fringe,N,'031,'01,'031911,RIO HONDO ISD,CAMERON,N,N, 
162,31912,D,Other Central City Suburban,22,Suburb-Midsize,N,'031,'01,'031912,SAN BENITO CISD,CAMERON,N,N, 
163,31913,H,Rural,41,Rural-Fringe,N,'031,'01,'031913,SANTA MARIA ISD,CAMERON,N,N, 
164,31914,G,Non-metropolitan Stable,22,Suburb-Midsize,N,'031,'01,'031914,SANTA ROSA ISD,CAMERON,N,N, 
165,31916,G,Non-metropolitan Stable,41,Rural-Fringe,N,'031,'01,'031916,SOUTH TEXAS ISD,CAMERON,N,N, 
166,32902,G,Non-metropolitan Stable,32,Town-Distant,N,'032,'08,'032902,PITTSBURG ISD,CAMP,N,N, 
167,33901,H,Rural,43,Rural-Remote,N,'033,'16,'033901,GROOM ISD,CARSON,N,N, 
168,33902,H,Rural,42,Rural-Distant,N,'033,'16,'033902,PANHANDLE ISD,CARSON,N,N, 
169,33904,H,Rural,43,Rural-Remote,N,'033,'16,'033904,WHITE DEER ISD,CARSON,N,N, 
170,34901,E,Independent Town,41,Rural-Fringe,N,'034,'08,'034901,ATLANTA ISD,CASS,N,N, 
171,34902,H,Rural,42,Rural-Distant,N,'034,'08,'034902,AVINGER ISD,CASS,N,N, 
172,34903,G,Non-metropolitan Stable,32,Town-Distant,N,'034,'08,'034903,HUGHES SPRINGS ISD,CASS,N,N, 
173,34905,H,Rural,43,Rural-Remote,N,'034,'08,'034905,LINDEN-KILDARE CISD,CASS,N,N, 
174,34906,H,Rural,42,Rural-Distant,N,'034,'08,'034906,MCLEOD ISD,CASS,N,N, 
175,34907,G,Non-metropolitan Stable,32,Town-Distant,N,'034,'08,'034907,QUEEN CITY ISD,CASS,N,N, 
176,34909,H,Rural,42,Rural-Distant,N,'034,'08,'034909,BLOOMBURG ISD,CASS,N,N, 
177,35901,D,Other Central City Suburban,33,Town-Remote,N,'035,'16,'035901,DIMMITT ISD,CASTRO,N,N, 
178,35902,H,Rural,43,Rural-Remote,N,'035,'16,'035902,HART ISD,CASTRO,N,N, 
179,35903,H,Rural,43,Rural-Remote,N,'035,'16,'035903,NAZARETH ISD,CASTRO,N,N, 
180,36901,G,Non-metropolitan Stable,42,Rural-Distant,N,'036,'04,'036901,ANAHUAC ISD,CHAMBERS,N,N, 
181,36902,D,Other Central City Suburban,41,Rural-Fringe,N,'036,'04,'036902,BARBERS HILL ISD,CHAMBERS,N,N, 
182,36903,G,Non-metropolitan Stable,32,Town-Distant,N,'036,'05,'036903,EAST CHAMBERS ISD,CHAMBERS,N,N, 
183,37901,H,Rural,42,Rural-Distant,N,'037,'07,'037901,ALTO ISD,CHEROKEE,N,N, 
184,37904,E,Independent Town,32,Town-Distant,N,'037,'07,'037904,JACKSONVILLE ISD,CHEROKEE,N,N, 
185,37907,G,Non-metropolitan Stable,41,Rural-Fringe,N,'037,'07,'037907,RUSK ISD,CHEROKEE,N,N, 
186,37908,H,Rural,42,Rural-Distant,N,'037,'07,'037908,NEW SUMMERFIELD ISD,CHEROKEE,N,N, 
187,37909,H,Rural,42,Rural-Distant,N,'037,'07,'037909,WELLS ISD,CHEROKEE,N,N, 
188,38901,G,Non-metropolitan Stable,33,Town-Remote,N,'038,'16,'038901,CHILDRESS ISD,CHILDRESS,N,N, 
189,39902,D,Other Central City Suburban,41,Rural-Fringe,N,'039,'09,'039902,HENRIETTA ISD,CLAY,N,N, 
190,39903,H,Rural,42,Rural-Distant,N,'039,'09,'039903,PETROLIA CISD,CLAY,N,N, 
191,39904,H,Rural,42,Rural-Distant,N,'039,'09,'039904,BELLEVUE ISD,CLAY,N,N, 
192,39905,H,Rural,42,Rural-Distant,N,'039,'09,'039905,MIDWAY ISD,CLAY,N,N, 
193,40901,H,Rural,43,Rural-Remote,N,'040,'17,'040901,MORTON ISD,COCHRAN,N,N, 
194,40902,H,Rural,43,Rural-Remote,N,'040,'17,'040902,WHITEFACE CISD,COCHRAN,N,N, 
195,41901,H,Rural,43,Rural-Remote,N,'041,'15,'041901,BRONTE ISD,COKE,N,N, 
196,41902,H,Rural,42,Rural-Distant,N,'041,'15,'041902,ROBERT LEE ISD,COKE,N,N, 
197,42901,H,Rural,33,Town-Remote,N,'042,'15,'042901,COLEMAN ISD,COLEMAN,N,N, 
198,42903,H,Rural,42,Rural-Distant,N,'042,'15,'042903,SANTA ANNA ISD,COLEMAN,N,N, 
199,42905,H,Rural,43,Rural-Remote,N,'042,'15,'042905,PANTHER CREEK CISD,COLEMAN,N,N, 
200,43801,I,Charter Schools,22,Suburb-Midsize,Y,'043,'10,'043801,IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS,COLLIN,Y,N, 
201,43802,I,Charter Schools,11,City-Large,Y,'043,'10,'043802,LONE STAR LANGUAGE ACADEMY,COLLIN,Y,N, 
202,43901,D,Other Central City Suburban,21,Suburb-Large,N,'043,'10,'043901,ALLEN ISD,COLLIN,N,N, 
203,43902,F,Non-metropolitan Fast Growing,41,Rural-Fringe,N,'043,'10,'043902,ANNA ISD,COLLIN,N,N, 
204,43903,F,Non-metropolitan Fast Growing,41,Rural-Fringe,N,'043,'10,'043903,CELINA ISD,COLLIN,N,N, 
205,43904,F,Non-metropolitan Fast Growing,31,Town-Fringe,N,'043,'10,'043904,FARMERSVILLE ISD,COLLIN,N,N, 
206,43905,C,Other Central City,21,Suburb-Large,N,'043,'10,'043905,FRISCO ISD,COLLIN,N,N, 
207,43907,D,Other Central City Suburban,22,Suburb-Midsize,N,'043,'10,'043907,MCKINNEY ISD,COLLIN,N,N, 
208,43908,F,Non-metropolitan Fast Growing,41,Rural-Fringe,N,'043,'10,'043908,MELISSA ISD,COLLIN,N,N, 
209,43910,B,Major Suburban,11,City-Large,N,'043,'10,'043910,PLANO ISD,COLLIN,N,N, 
210,43911,F,Non-metropolitan Fast Growing,22,Suburb-Midsize,N,'043,'10,'043911,PRINCETON ISD,COLLIN,N,N, 
211,43912,D,Other Central City Suburban,41,Rural-Fringe,N,'043,'10,'043912,PROSPER ISD,COLLIN,N,N, 
212,43914,D,Other Central City Suburban,21,Suburb-Large,N,'043,'10,'043914,WYLIE ISD,COLLIN,N,N, 
213,43917,F,Non-metropolitan Fast Growing,42,Rural-Distant,N,'043,'10,'043917,BLUE RIDGE ISD,COLLIN,N,N, 
214,43918,D,Other Central City Suburban,41,Rural-Fringe,N,'043,'10,'043918,COMMUNITY ISD,COLLIN,N,N, 
215,43919,G,Non-metropolitan Stable,21,Suburb-Large,N,'043,'10,'043919,LOVEJOY ISD,COLLIN,N,N, 
216,44902,H,Rural,43,Rural-Remote,N,'044,'16,'044902,WELLINGTON ISD,COLLINGSWORTH,N,N, 
217,45902,G,Non-metropolitan Stable,33,Town-Remote,N,'045,'04,'045902,COLUMBUS ISD,COLORADO,N,N, 
218,45903,G,Non-metropolitan Stable,42,Rural-Distant,N,'045,'03,'045903,RICE CISD,COLORADO,N,N, 
219,45905,H,Rural,42,Rural-Distant,N,'045,'03,'045905,WEIMAR ISD,COLORADO,N,N,ASVAB Alternative Test Offered
220,46802,I,Charter Schools,41,Rural-Fringe,Y,'046,'20,'046802,TRINITY CHARTER SCHOOL,COMAL,Y,Y, 
221,46901,D,Other Central City Suburban,13,City-Small,N,'046,'20,'046901,NEW BRAUNFELS ISD,COMAL,N,N, 
222,46902,B,Major Suburban,41,Rural-Fringe,N,'046,'20,'046902,COMAL ISD,COMAL,N,N, 
223,47901,G,Non-metropolitan Stable,41,Rural-Fringe,N,'047,'14,'047901,COMANCHE ISD,COMANCHE,N,N, 
