,District,District Number,TEA District Type,TEA Description,NCES District Type,NCES Description,Charter School (Y/N)
366,FLORENCE ISD,246902,G,Non-metropolitan Stable,42,Rural-Distant,N
367,FLORESVILLE ISD,247901,E,Independent Town,32,Town-Distant,N
368,FLOUR BLUFF ISD,178914,D,Other Central City Suburban,11,City-Large,N
369,FLOYDADA ISD,77901,H,Rural,41,Rural-Fringe,N
370,FOLLETT ISD,148902,H,Rural,43,Rural-Remote,N
371,FORESTBURG ISD,169910,H,Rural,43,Rural-Remote,N
372,FORNEY ISD,129902,B,Major Suburban,41,Rural-Fringe,N
373,FORSAN ISD,114904,H,Rural,42,Rural-Distant,N
374,FORT BEND ISD,79907,B,Major Suburban,21,Suburb-Large,N
375,FORT ELLIOTT CISD,242906,H,Rural,43,Rural-Remote,N
376,FORT STOCKTON ISD,186902,G,Non-metropolitan Stable,33,Town-Remote,N
377,FORT WORTH ACADEMY OF FINE ARTS,220809,I,Charter School Districts,11,City-Large,Y
378,FORT WORTH ISD,220905,A,Major Urban,11,City-Large,N
379,FRANKLIN ISD,198903,D,Other Central City Suburban,42,Rural-Distant,N
380,FRANKSTON ISD,1904,H,Rural,42,Rural-Distant,N
381,FREDERICKSBURG ISD,86901,E,Independent Town,33,Town-Remote,N
382,FREER ISD,66903,H,Rural,43,Rural-Remote,N
383,FRENSHIP ISD,152907,D,Other Central City Suburban,22,Suburb-Midsize,N
384,FRIENDSWOOD ISD,84911,G,Non-metropolitan Stable,21,Suburb-Large,N
385,FRIONA ISD,185903,G,Non-metropolitan Stable,33,Town-Remote,N
386,FRISCO ISD,43905,C,Other Central City,21,Suburb-Large,N
387,FROST ISD,175905,H,Rural,42,Rural-Distant,N
388,FRUITVALE ISD,234909,H,Rural,42,Rural-Distant,N
389,FT DAVIS ISD,122901,H,Rural,43,Rural-Remote,N
390,FT HANCOCK ISD,115901,H,Rural,43,Rural-Remote,N
391,FT SAM HOUSTON ISD,15914,G,Non-metropolitan Stable,11,City-Large,N
392,GAINESVILLE ISD,49901,E,Independent Town,41,Rural-Fringe,N
393,GALENA PARK ISD,101910,B,Major Suburban,21,Suburb-Large,N
394,GALVESTON ISD,84902,C,Other Central City,31,Town-Fringe,N
395,GANADO ISD,120902,H,Rural,42,Rural-Distant,N
396,GARLAND ISD,57909,B,Major Suburban,21,Suburb-Large,N
397,GARNER ISD,184911,H,Rural,42,Rural-Distant,N
398,GARRISON ISD,174903,H,Rural,43,Rural-Remote,N
399,GARY ISD,183904,H,Rural,42,Rural-Distant,N
400,GATESVILLE ISD,50902,D,Other Central City Suburban,32,Town-Distant,N
401,GATEWAY CHARTER ACADEMY,57831,I,Charter School Districts,11,City-Large,Y
402,GAUSE ISD,166902,H,Rural,42,Rural-Distant,N
403,GEORGE GERVIN ACADEMY,15802,I,Charter School Districts,11,City-Large,Y
404,GEORGE I SANCHEZ CHARTER,101804,I,Charter School Districts,11,City-Large,Y
405,GEORGE WEST ISD,149901,G,Non-metropolitan Stable,43,Rural-Remote,N
406,GEORGETOWN ISD,246904,C,Other Central City,13,City-Small,N
407,GHOLSON ISD,161925,H,Rural,42,Rural-Distant,N
408,GIDDINGS ISD,144901,G,Non-metropolitan Stable,41,Rural-Fringe,N
409,GILMER ISD,230902,D,Other Central City Suburban,41,Rural-Fringe,N
410,GLADEWATER ISD,92901,D,Other Central City Suburban,23,Suburb-Small,N
411,GLASSCOCK COUNTY ISD,87901,H,Rural,43,Rural-Remote,N
412,GLEN ROSE ISD,213901,G,Non-metropolitan Stable,42,Rural-Distant,N
413,GODLEY ISD,126911,B,Major Suburban,42,Rural-Distant,N
414,GOLD BURG ISD,169906,H,Rural,42,Rural-Distant,N
415,GOLDEN RULE CHARTER SCHOOL,57835,I,Charter School Districts,11,City-Large,Y
416,GOLDTHWAITE ISD,167901,H,Rural,43,Rural-Remote,N
417,GOLIAD ISD,88902,G,Non-metropolitan Stable,42,Rural-Distant,N
418,GONZALES ISD,89901,G,Non-metropolitan Stable,32,Town-Distant,N
419,GOODRICH ISD,187903,H,Rural,42,Rural-Distant,N
420,GOODWATER MONTESSORI SCHOOL,246802,I,Charter School Districts,13,City-Small,Y
421,GOOSE CREEK CISD,101911,B,Major Suburban,13,City-Small,N
422,GORDON ISD,182901,H,Rural,43,Rural-Remote,N
423,GORMAN ISD,67904,H,Rural,43,Rural-Remote,N
424,GRADY ISD,156905,H,Rural,42,Rural-Distant,N
425,GRAFORD ISD,182902,H,Rural,43,Rural-Remote,N
426,GRAHAM ISD,252901,G,Non-metropolitan Stable,33,Town-Remote,N
427,GRANBURY ISD,111901,D,Other Central City Suburban,32,Town-Distant,N
428,GRAND PRAIRIE ISD,57910,B,Major Suburban,21,Suburb-Large,N
429,GRAND SALINE ISD,234904,G,Non-metropolitan Stable,32,Town-Distant,N
430,GRANDFALLS-ROYALTY ISD,238904,H,Rural,43,Rural-Remote,N
431,GRANDVIEW ISD,126904,F,Non-metropolitan Fast Growing,42,Rural-Distant,N
432,GRANDVIEW-HOPKINS ISD,90905,H,Rural,43,Rural-Remote,N
433,GRANGER ISD,246905,H,Rural,42,Rural-Distant,N
434,GRAPE CREEK ISD,226907,D,Other Central City Suburban,41,Rural-Fringe,N
435,GRAPELAND ISD,113902,F,Non-metropolitan Fast Growing,43,Rural-Remote,N
436,GRAPEVINE-COLLEYVILLE ISD,220906,B,Major Suburban,13,City-Small,N
437,GREAT HEARTS TEXAS,15835,I,Charter School Districts,11,City-Large,Y
438,GREENVILLE ISD,116905,E,Independent Town,32,Town-Distant,N
439,GREENWOOD ISD,165902,D,Other Central City Suburban,42,Rural-Distant,N
440,GREGORY-PORTLAND ISD,205902,D,Other Central City Suburban,21,Suburb-Large,N
441,GROESBECK ISD,147902,G,Non-metropolitan Stable,41,Rural-Fringe,N
442,GROOM ISD,33901,H,Rural,43,Rural-Remote,N
443,GROVETON ISD,228901,H,Rural,43,Rural-Remote,N
444,GRUVER ISD,98901,H,Rural,43,Rural-Remote,N
445,GUNTER ISD,91917,F,Non-metropolitan Fast Growing,42,Rural-Distant,N
446,GUSTINE ISD,47903,H,Rural,43,Rural-Remote,N
447,GUTHRIE CSD,135001,H,Rural,43,Rural-Remote,N
448,HALE CENTER ISD,95903,H,Rural,42,Rural-Distant,N
449,HALLETTSVILLE ISD,143901,G,Non-metropolitan Stable,43,Rural-Remote,N
450,HALLSBURG ISD,161924,H,Rural,42,Rural-Distant,N
451,HALLSVILLE ISD,102904,D,Other Central City Suburban,31,Town-Fringe,N
452,HAMILTON ISD,97902,H,Rural,33,Town-Remote,N
453,HAMLIN COLLEGIATE ISD,127903,H,Rural,43,Rural-Remote,N
454,HAMSHIRE-FANNETT ISD,123914,D,Other Central City Suburban,42,Rural-Distant,N
455,HAPPY ISD,219901,H,Rural,42,Rural-Distant,N
456,HARDIN ISD,146904,G,Non-metropolitan Stable,42,Rural-Distant,N
457,HARDIN-JEFFERSON ISD,100905,D,Other Central City Suburban,42,Rural-Distant,N
458,HARLANDALE ISD,15904,B,Major Suburban,11,City-Large,N
459,HARLETON ISD,102905,H,Rural,42,Rural-Distant,N
460,HARLINGEN CISD,31903,D,Other Central City Suburban,13,City-Small,N
461,HARMONY ISD,230905,E,Independent Town,42,Rural-Distant,N
462,HARMONY SCHOOL OF EXCELLENCE,101858,I,Charter School Districts,11,City-Large,Y
463,HARMONY SCHOOL OF SCIENCE - HOUSTO,101862,I,Charter School Districts,12,City-Midsize,Y
464,HARMONY SCIENCE ACAD (EL PASO),71806,I,Charter School Districts,11,City-Large,Y
465,HARMONY SCIENCE ACAD (SAN ANTONIO),15828,I,Charter School Districts,11,City-Large,Y
466,HARMONY SCIENCE ACAD (WACO),161807,I,Charter School Districts,21,Suburb-Large,Y
467,HARMONY SCIENCE ACADEMY,101846,I,Charter School Districts,11,City-Large,Y
468,HARMONY SCIENCE ACADEMY (AUSTIN),227816,I,Charter School Districts,11,City-Large,Y
469,HARPER ISD,86902,H,Rural,43,Rural-Remote,N
470,HARRIS COUNTY DEPT OF ED,101000,,,21,Suburb-Large,N
471,HARROLD ISD,244901,H,Rural,42,Rural-Distant,N
472,HART ISD,35902,H,Rural,43,Rural-Remote,N
473,HARTLEY ISD,103902,H,Rural,43,Rural-Remote,N
474,HARTS BLUFF ISD,225907,H,Rural,41,Rural-Fringe,N
475,HASKELL CISD,104901,H,Rural,41,Rural-Fringe,N
476,HAWKINS ISD,250902,H,Rural,42,Rural-Distant,N
477,HAWLEY ISD,127904,H,Rural,42,Rural-Distant,N
478,HAYS CISD,105906,B,Major Suburban,21,Suburb-Large,N
479,HEARNE ISD,198905,H,Rural,32,Town-Distant,N
480,HEDLEY ISD,65902,H,Rural,43,Rural-Remote,N
481,HEMPHILL ISD,202903,G,Non-metropolitan Stable,43,Rural-Remote,N
482,HEMPSTEAD ISD,237902,G,Non-metropolitan Stable,32,Town-Distant,N
483,HENDERSON ISD,201902,E,Independent Town,32,Town-Distant,N
484,HENRIETTA ISD,39902,D,Other Central City Suburban,41,Rural-Fringe,N
485,HENRY FORD ACADEMY ALAMEDA SCHOOL,15833,I,Charter School Districts,11,City-Large,Y
486,HEREFORD ISD,59901,D,Other Central City Suburban,32,Town-Distant,N
487,HERITAGE ACADEMY,15815,I,Charter School Districts,33,Town-Remote,Y
488,HERMLEIGH ISD,208901,H,Rural,42,Rural-Distant,N
489,HICO ISD,97903,H,Rural,43,Rural-Remote,N
490,HIDALGO ISD,108905,D,Other Central City Suburban,21,Suburb-Large,N
491,HIGGINS ISD,148903,H,Rural,43,Rural-Remote,N
492,HIGH ISLAND ISD,84903,H,Rural,43,Rural-Remote,N
493,HIGH POINT ACADEMY,220819,I,Charter School Districts,21,Suburb-Large,Y
494,HIGHLAND ISD,177905,H,Rural,42,Rural-Distant,N
495,HIGHLAND PARK ISD,57911,B,Major Suburban,21,Suburb-Large,N
496,HIGHLAND PARK ISD,188903,G,Non-metropolitan Stable,41,Rural-Fringe,N
497,HILLSBORO ISD,109904,E,Independent Town,32,Town-Distant,N
498,HITCHCOCK ISD,84908,D,Other Central City Suburban,22,Suburb-Midsize,N
499,HOLLAND ISD,14905,H,Rural,42,Rural-Distant,N
500,HOLLIDAY ISD,5902,D,Other Central City Suburban,42,Rural-Distant,N
501,HONDO ISD,163904,G,Non-metropolitan Stable,32,Town-Distant,N
502,HONEY GROVE ISD,74907,H,Rural,43,Rural-Remote,N
503,HOOKS ISD,19902,H,Rural,31,Town-Fringe,N
504,HORIZON MONTESSORI PUBLIC SCHOOLS,108802,I,Charter School Districts,12,City-Midsize,Y
505,HOUSTON CLASSICAL CHARTER SCHOOL,101878,,,21,Suburb-Large,Y
506,HOUSTON GATEWAY ACADEMY INC,101828,I,Charter School Districts,11,City-Large,Y
507,HOUSTON HEIGHTS HIGH SCHOOL,101821,I,Charter School Districts,11,City-Large,Y
508,HOUSTON ISD,101912,A,Major Urban,11,City-Large,N
509,HOWE ISD,91905,D,Other Central City Suburban,41,Rural-Fringe,N
510,HUBBARD ISD,19913,H,Rural,42,Rural-Distant,N
511,HUBBARD ISD,109905,H,Rural,42,Rural-Distant,N
512,HUCKABAY ISD,72908,H,Rural,42,Rural-Distant,N
513,HUDSON ISD,3902,G,Non-metropolitan Stable,33,Town-Remote,N
514,HUFFMAN ISD,101925,G,Non-metropolitan Stable,41,Rural-Fringe,N
515,HUGHES SPRINGS ISD,34903,G,Non-metropolitan Stable,32,Town-Distant,N
516,HULL-DAISETTA ISD,146905,H,Rural,42,Rural-Distant,N
517,HUMBLE ISD,101913,B,Major Suburban,21,Suburb-Large,N
518,HUNT ISD,133902,H,Rural,42,Rural-Distant,N
519,HUNTINGTON ISD,3904,G,Non-metropolitan Stable,42,Rural-Distant,N
520,HUNTSVILLE ISD,236902,E,Independent Town,32,Town-Distant,N
521,HURST-EULESS-BEDFORD ISD,220916,B,Major Suburban,21,Suburb-Large,N
522,HUTTO ISD,246906,D,Other Central City Suburban,21,Suburb-Large,N
523,IDALOU ISD,152910,D,Other Central City Suburban,42,Rural-Distant,N
524,IDEA PUBLIC SCHOOLS,108807,I,Charter School Districts,11,City-Large,Y
525,IMAGINE INTERNATIONAL ACADEMY OF N,43801,I,Charter School Districts,22,Suburb-Midsize,Y
526,INDUSTRIAL ISD,120905,G,Non-metropolitan Stable,42,Rural-Distant,N
527,INGLESIDE ISD,205903,D,Other Central City Suburban,31,Town-Fringe,N
528,INGRAM ISD,133904,G,Non-metropolitan Stable,41,Rural-Fringe,N
529,INSPIRE ACADEMIES,15808,I,Charter School Districts,11,City-Large,Y
530,INSPIRED VISION ACADEMY,57830,I,Charter School Districts,11,City-Large,Y
531,INTERNATIONAL LEADERSHIP OF TEXAS,57848,I,Charter School Districts,21,Suburb-Large,Y
532,IOLA ISD,93903,H,Rural,42,Rural-Distant,N
533,IOWA PARK CISD,243903,D,Other Central City Suburban,31,Town-Fringe,N
534,IRA ISD,208903,H,Rural,42,Rural-Distant,N
535,IRAAN-SHEFFIELD ISD,186903,H,Rural,43,Rural-Remote,N
536,IREDELL ISD,18906,H,Rural,43,Rural-Remote,N
537,IRION COUNTY ISD,118902,H,Rural,42,Rural-Distant,N
538,IRVING ISD,57912,B,Major Suburban,12,City-Midsize,N
539,ITALY ISD,70907,H,Rural,42,Rural-Distant,N
540,ITASCA ISD,109907,H,Rural,42,Rural-Distant,N
541,JACKSBORO ISD,119902,G,Non-metropolitan Stable,33,Town-Remote,N
542,JACKSONVILLE ISD,37904,E,Independent Town,32,Town-Distant,N
543,JARRELL ISD,246907,D,Other Central City Suburban,42,Rural-Distant,N
544,JASPER ISD,121904,E,Independent Town,33,Town-Remote,N
545,JAYTON-GIRARD ISD,132902,H,Rural,43,Rural-Remote,N
546,JEAN MASSIEU ACADEMY,57819,I,Charter School Districts,11,City-Large,Y
547,JEFFERSON ISD,155901,G,Non-metropolitan Stable,42,Rural-Distant,N
548,JIM HOGG COUNTY ISD,124901,G,Non-metropolitan Stable,33,Town-Remote,N
549,JIM NED CISD,221911,F,Non-metropolitan Fast Growing,42,Rural-Distant,N
550,JOAQUIN ISD,210902,H,Rural,43,Rural-Remote,N
551,JOHNSON CITY ISD,16901,H,Rural,42,Rural-Distant,N
552,JONESBORO ISD,50909,E,Independent Town,43,Rural-Remote,N
553,JOSHUA ISD,126905,D,Other Central City Suburban,41,Rural-Fringe,N
554,JOURDANTON ISD,7902,G,Non-metropolitan Stable,32,Town-Distant,N
555,JUBILEE ACADEMIES,15822,I,Charter School Districts,11,City-Large,Y
556,JUDSON ISD,15916,B,Major Suburban,21,Suburb-Large,N
557,JUNCTION ISD,134901,H,Rural,33,Town-Remote,N
558,KARNACK ISD,102901,H,Rural,42,Rural-Distant,N
559,KARNES CITY ISD,128901,G,Non-metropolitan Stable,33,Town-Remote,N
560,KATHERINE ANNE PORTER SCHOOL,105801,I,Charter School Districts,32,Town-Distant,Y
561,KATY ISD,101914,B,Major Suburban,21,Suburb-Large,N
562,KAUFFMAN LEADERSHIP ACADEMY,126801,I,Charter School Districts,31,Town-Fringe,Y
563,KAUFMAN ISD,129903,D,Other Central City Suburban,32,Town-Distant,N
564,KEENE ISD,126906,G,Non-metropolitan Stable,31,Town-Fringe,N
565,KELLER ISD,220907,B,Major Suburban,11,City-Large,N
566,KELTON ISD,242905,H,Rural,43,Rural-Remote,N
567,KEMP ISD,129904,D,Other Central City Suburban,42,Rural-Distant,N
568,KENEDY COUNTY WIDE CSD,131001,H,Rural,43,Rural-Remote,N
569,KENEDY ISD,128902,H,Rural,41,Rural-Fringe,N
570,KENNARD ISD,113906,H,Rural,43,Rural-Remote,N
571,KENNEDALE ISD,220914,B,Major Suburban,21,Suburb-Large,N
572,KERENS ISD,175907,H,Rural,43,Rural-Remote,N
573,KERMIT ISD,248901,D,Other Central City Suburban,32,Town-Distant,N
574,KERRVILLE ISD,133903,E,Independent Town,33,Town-Remote,N
575,KI CHARTER ACADEMY,105803,I,Charter School Districts,13,City-Small,Y
576,KILGORE ISD,92902,D,Other Central City Suburban,31,Town-Fringe,N
577,KILLEEN ISD,14906,C,Other Central City,12,City-Midsize,N
578,KINGSVILLE ISD,137901,E,Independent Town,32,Town-Distant,N
579,KIPP TEXAS PUBLIC SCHOOLS,227820,I,Charter School Districts,11,City-Large,Y
580,KIRBYVILLE CISD,121905,G,Non-metropolitan Stable,43,Rural-Remote,N
581,KLEIN ISD,101915,B,Major Suburban,21,Suburb-Large,N
582,KLONDIKE ISD,58905,H,Rural,43,Rural-Remote,N
583,KNIPPA ISD,232901,H,Rural,42,Rural-Distant,N
584,KNOX CITY-O'BRIEN CISD,138902,H,Rural,43,Rural-Remote,N
585,KOPPERL ISD,18907,H,Rural,43,Rural-Remote,N
586,KOUNTZE ISD,100903,G,Non-metropolitan Stable,42,Rural-Distant,N
587,KRESS ISD,219905,H,Rural,42,Rural-Distant,N
588,KRUM ISD,61905,D,Other Central City Suburban,31,Town-Fringe,N
589,LA ACADEMIA DE ESTRELLAS,57839,I,Charter School Districts,11,City-Large,Y
590,LA FE PREPARATORY SCHOOL,71807,I,Charter School Districts,11,City-Large,Y
591,LA FERIA ISD,31905,G,Non-metropolitan Stable,22,Suburb-Midsize,N
592,LA GLORIA ISD,125906,H,Rural,42,Rural-Distant,N
593,LA GRANGE ISD,75902,E,Independent Town,33,Town-Remote,N
594,LA JOYA ISD,108912,C,Other Central City,21,Suburb-Large,N
595,LA PORTE ISD,101916,B,Major Suburban,21,Suburb-Large,N
596,LA PRYOR ISD,254902,H,Rural,43,Rural-Remote,N
597,LA VEGA ISD,161906,D,Other Central City Suburban,22,Suburb-Midsize,N
598,LA VERNIA ISD,247903,E,Independent Town,42,Rural-Distant,N
599,LA VILLA ISD,108914,H,Rural,21,Suburb-Large,N
600,LACKLAND ISD,15913,F,Non-metropolitan Fast Growing,21,Suburb-Large,N
601,LAGO VISTA ISD,227912,G,Non-metropolitan Stable,31,Town-Fringe,N
602,LAKE DALLAS ISD,61912,D,Other Central City Suburban,21,Suburb-Large,N
603,LAKE GRANBURY ACADEMY CHARTER SCHO,111801,I,Charter School Districts,41,Rural-Fringe,Y
604,LAKE TRAVIS ISD,227913,B,Major Suburban,21,Suburb-Large,N
605,LAKE WORTH ISD,220910,B,Major Suburban,21,Suburb-Large,N
606,LAMAR CISD,79901,C,Other Central City,21,Suburb-Large,N
607,LAMESA ISD,58906,G,Non-metropolitan Stable,33,Town-Remote,N
608,LAMPASAS ISD,141901,D,Other Central City Suburban,41,Rural-Fringe,N
609,LANCASTER ISD,57913,B,Major Suburban,21,Suburb-Large,N
610,LANEVILLE ISD,201903,H,Rural,42,Rural-Distant,N
611,LAPOYNOR ISD,107910,H,Rural,42,Rural-Distant,N
612,LAREDO ISD,240901,D,Other Central City Suburban,11,City-Large,N
613,LASARA ISD,245901,H,Rural,42,Rural-Distant,N
614,LATEXO ISD,113905,H,Rural,42,Rural-Distant,N
615,LAZBUDDIE ISD,185904,H,Rural,43,Rural-Remote,N
616,LEADERSHIP PREP SCHOOL,61804,I,Charter School Districts,21,Suburb-Large,Y
617,LEAKEY ISD,193902,H,Rural,43,Rural-Remote,N
618,LEANDER ISD,246913,B,Major Suburban,21,Suburb-Large,N
619,LEARY ISD,19914,H,Rural,41,Rural-Fringe,N
620,LEFORS ISD,90902,H,Rural,42,Rural-Distant,N
621,LEGACY PREPARATORY,57846,I,Charter School Districts,21,Suburb-Large,Y
622,LEGACY SCHOOL OF SPORT SCIENCES,101874,I,Charter School Districts,21,Suburb-Large,Y
623,LEGGETT ISD,187906,H,Rural,42,Rural-Distant,N
624,LEON ISD,145911,H,Rural,43,Rural-Remote,N
625,LEONARD ISD,74909,H,Rural,42,Rural-Distant,N
626,LEVELLAND ISD,110902,G,Non-metropolitan Stable,32,Town-Distant,N
627,LEVERETTS CHAPEL ISD,201904,H,Rural,42,Rural-Distant,N
628,LEWISVILLE ISD,61902,B,Major Suburban,21,Suburb-Large,N
629,LEXINGTON ISD,144902,G,Non-metropolitan Stable,43,Rural-Remote,N
630,LIBERTY HILL ISD,246908,D,Other Central City Suburban,41,Rural-Fringe,N
631,LIBERTY ISD,146906,G,Non-metropolitan Stable,32,Town-Distant,N
632,LIBERTY-EYLAU ISD,19908,G,Non-metropolitan Stable,13,City-Small,N
633,LIFE SCHOOL,57807,I,Charter School Districts,21,Suburb-Large,Y
634,LIGHTHOUSE CHARTER SCHOOL,15825,I,Charter School Districts,11,City-Large,Y
635,LINDALE ISD,212903,D,Other Central City Suburban,31,Town-Fringe,N
636,LINDEN-KILDARE CISD,34905,H,Rural,43,Rural-Remote,N
637,LINDSAY ISD,49907,H,Rural,42,Rural-Distant,N
638,LINGLEVILLE ISD,72909,H,Rural,42,Rural-Distant,N
639,LIPAN ISD,111902,F,Non-metropolitan Fast Growing,43,Rural-Remote,N
640,LITTLE CYPRESS-MAURICEVILLE CISD,181908,E,Independent Town,22,Suburb-Midsize,N
641,LITTLE ELM ISD,61914,D,Other Central City Suburban,21,Suburb-Large,N
642,LITTLEFIELD ISD,140904,G,Non-metropolitan Stable,32,Town-Distant,N
643,LIVINGSTON ISD,187907,E,Independent Town,41,Rural-Fringe,N
644,LLANO ISD,150901,G,Non-metropolitan Stable,41,Rural-Fringe,N
645,LOCKHART ISD,28902,D,Other Central City Suburban,31,Town-Fringe,N
646,LOCKNEY ISD,77902,H,Rural,43,Rural-Remote,N
647,LOHN ISD,160905,H,Rural,43,Rural-Remote,N
648,LOMETA ISD,141902,F,Non-metropolitan Fast Growing,43,Rural-Remote,N
649,LONDON ISD,178906,D,Other Central City Suburban,41,Rural-Fringe,N
650,LONE OAK ISD,116906,G,Non-metropolitan Stable,42,Rural-Distant,N
651,LONE STAR LANGUAGE ACADEMY,43802,I,Charter School Districts,11,City-Large,Y
652,LONGVIEW ISD,92903,C,Other Central City,13,City-Small,N
653,LOOP ISD,83902,H,Rural,43,Rural-Remote,N
654,LORAINE ISD,168902,H,Rural,42,Rural-Distant,N
655,LORENA ISD,161907,G,Non-metropolitan Stable,41,Rural-Fringe,N
656,LORENZO ISD,54902,H,Rural,42,Rural-Distant,N
657,LOS FRESNOS CISD,31906,D,Other Central City Suburban,22,Suburb-Midsize,N
658,LOUISE ISD,241906,H,Rural,42,Rural-Distant,N
659,LOVEJOY ISD,43919,G,Non-metropolitan Stable,21,Suburb-Large,N
660,LOVELADY ISD,113903,H,Rural,43,Rural-Remote,N
661,LUBBOCK ISD,152901,C,Other Central City,11,City-Large,N
662,LUBBOCK-COOPER ISD,152906,D,Other Central City Suburban,41,Rural-Fringe,N
663,LUEDERS-AVOCA ISD,127905,H,Rural,42,Rural-Distant,N
664,LUFKIN ISD,3903,E,Independent Town,33,Town-Remote,N
665,LULING ISD,28903,E,Independent Town,32,Town-Distant,N
666,LUMBERTON ISD,100907,D,Other Central City Suburban,22,Suburb-Midsize,N
667,LUMIN EDUCATION,57805,I,Charter School Districts,11,City-Large,Y
668,LYFORD CISD,245902,G,Non-metropolitan Stable,32,Town-Distant,N
669,LYTLE ISD,7904,G,Non-metropolitan Stable,31,Town-Fringe,N
670,MABANK ISD,129905,D,Other Central City Suburban,32,Town-Distant,N
671,MADISONVILLE CISD,154901,G,Non-metropolitan Stable,32,Town-Distant,N
672,MAGNOLIA ISD,170906,D,Other Central City Suburban,41,Rural-Fringe,N
673,MALAKOFF ISD,107906,G,Non-metropolitan Stable,33,Town-Remote,N
674,MALONE ISD,109908,H,Rural,42,Rural-Distant,N
675,MALTA ISD,19910,H,Rural,42,Rural-Distant,N
676,MANARA ACADEMY,57844,I,Charter School Districts,12,City-Midsize,Y
677,MANOR ISD,227907,B,Major Suburban,41,Rural-Fringe,N
678,MANSFIELD ISD,220908,B,Major Suburban,21,Suburb-Large,N
679,MARATHON ISD,22902,H,Rural,43,Rural-Remote,N
680,MARBLE FALLS ISD,27904,E,Independent Town,32,Town-Distant,N
681,MARFA ISD,189901,H,Rural,43,Rural-Remote,N
682,MARION ISD,94904,D,Other Central City Suburban,21,Suburb-Large,N
683,MARLIN ISD,73903,G,Non-metropolitan Stable,32,Town-Distant,N
684,MARSHALL ISD,102902,E,Independent Town,32,Town-Distant,N
685,MART ISD,161908,H,Rural,42,Rural-Distant,N
686,MARTINS MILL ISD,234905,H,Rural,42,Rural-Distant,N
687,MARTINSVILLE ISD,174909,H,Rural,43,Rural-Remote,N
688,MASON ISD,157901,H,Rural,43,Rural-Remote,N
689,MATAGORDA ISD,158904,H,Rural,43,Rural-Remote,N
690,MATHIS ISD,205904,G,Non-metropolitan Stable,32,Town-Distant,N
691,MAUD ISD,19903,H,Rural,42,Rural-Distant,N
692,MAY ISD,25905,H,Rural,43,Rural-Remote,N
693,MAYPEARL ISD,70915,D,Other Central City Suburban,42,Rural-Distant,N
694,MCALLEN ISD,108906,D,Other Central City Suburban,12,City-Midsize,N
695,MCCAMEY ISD,231901,H,Rural,43,Rural-Remote,N
696,MCDADE ISD,11905,F,Non-metropolitan Fast Growing,42,Rural-Distant,N
697,MCGREGOR ISD,161909,G,Non-metropolitan Stable,31,Town-Fringe,N
698,MCKINNEY ISD,43907,D,Other Central City Suburban,22,Suburb-Midsize,N
699,MCLEAN ISD,90903,H,Rural,43,Rural-Remote,N
700,MCLEOD ISD,34906,H,Rural,42,Rural-Distant,N
701,MCMULLEN COUNTY ISD,162904,H,Rural,43,Rural-Remote,N
702,MEADOW ISD,223902,H,Rural,42,Rural-Distant,N
703,MEADOWLAND CHARTER DISTRICT,130801,I,Charter School Districts,41,Rural-Fringe,Y
704,MEDINA ISD,10901,H,Rural,43,Rural-Remote,N
705,MEDINA VALLEY ISD,163908,B,Major Suburban,41,Rural-Fringe,N
706,MELISSA ISD,43908,F,Non-metropolitan Fast Growing,22,Suburb-Midsize,N
707,MEMPHIS ISD,96904,H,Rural,43,Rural-Remote,N
708,MENARD ISD,164901,H,Rural,43,Rural-Remote,N
709,MERCEDES ISD,108907,G,Non-metropolitan Stable,21,Suburb-Large,N
710,MERIDIAN ISD,18902,H,Rural,43,Rural-Remote,N
711,MERIDIAN WORLD SCHOOL LLC,246801,I,Charter School Districts,12,City-Midsize,Y
712,MERKEL ISD,221904,D,Other Central City Suburban,42,Rural-Distant,N
713,MESQUITE ISD,57914,B,Major Suburban,21,Suburb-Large,N
714,MEXIA ISD,147903,G,Non-metropolitan Stable,33,Town-Remote,N
715,MEYERPARK ELEMENTARY,101855,I,Charter School Districts,11,City-Large,Y
716,MEYERSVILLE ISD,62906,H,Rural,42,Rural-Distant,N
717,MIAMI ISD,197902,H,Rural,43,Rural-Remote,N
718,MIDLAND ACADEMY CHARTER SCHOOL,165802,I,Charter School Districts,12,City-Midsize,Y
719,MIDLAND ISD,165901,C,Other Central City,12,City-Midsize,N
720,MIDLOTHIAN ISD,70908,C,Other Central City,21,Suburb-Large,N
721,MIDWAY ISD,39905,H,Rural,42,Rural-Distant,N
722,MIDWAY ISD,161903,D,Other Central City Suburban,22,Suburb-Midsize,N
723,MILANO ISD,166903,H,Rural,42,Rural-Distant,N
724,MILDRED ISD,175910,E,Independent Town,42,Rural-Distant,N
725,MILES ISD,200902,H,Rural,42,Rural-Distant,N
726,MILFORD ISD,70909,H,Rural,42,Rural-Distant,N
727,MILLER GROVE ISD,112907,F,Non-metropolitan Fast Growing,43,Rural-Remote,N
728,MILLSAP ISD,184904,D,Other Central City Suburban,42,Rural-Distant,N
729,MINEOLA ISD,250903,E,Independent Town,32,Town-Distant,N
730,MINERAL WELLS ISD,182903,E,Independent Town,32,Town-Distant,N
731,MISSION CISD,108908,D,Other Central City Suburban,13,City-Small,N
732,MONAHANS-WICKETT-PYOTE ISD,238902,D,Other Central City Suburban,32,Town-Distant,N
733,MONTAGUE ISD,169908,H,Rural,42,Rural-Distant,N
