,District,District Number,TEA District Type,TEA Description,NCES District Type,NCES Description,Charter School (Y/N),2018-19 District Enrollment,Campuses would Qualify as Rural for Teacher Incentive Allotment Purposes Based on TEA Definition (Yes/No),"Campuses would Qualify as Rural for Teacher Incentive Allotment Purposes Based on NCES Definition and Enrollment <5,000 (Yes/No)"
47,ARLINGTON CLASSICS ACADEMY,220802,I,Charter School Districts,11.0,City-Large,Y,1550,No,No
48,ARLINGTON ISD,220901,A,Major Urban,11.0,City-Large,N,59900,No,No
49,ARP ISD,212901,G,Non-metropolitan Stable,42.0,Rural-Distant,N,869,No,Yes
50,ARROW ACADEMY,21805,I,Charter School Districts,11.0,City-Large,Y,706,No,No
51,ASPERMONT ISD,217901,H,Rural,43.0,Rural-Remote,N,224,Yes,Yes
52,ATHENS ISD,107901,E,Independent Town,32.0,Town-Distant,N,3011,No,No
53,ATLANTA ISD,34901,E,Independent Town,32.0,Town-Distant,N,1725,No,No
54,AUBREY ISD,61907,D,Other Central City Suburban,41.0,Rural-Fringe,N,2442,No,Yes
55,AUSTIN ACHIEVE PUBLIC SCHOOLS,227825,I,Charter School Districts,11.0,City-Large,Y,1556,No,No
56,AUSTIN DISCOVERY SCHOOL,227821,I,Charter School Districts,11.0,City-Large,Y,508,No,No
57,AUSTIN ISD,227901,A,Major Urban,11.0,City-Large,N,80032,No,No
58,AUSTWELL-TIVOLI ISD,196901,H,Rural,42.0,Rural-Distant,N,140,Yes,Yes
59,AVALON ISD,70901,F,Non-metropolitan Fast Growing,42.0,Rural-Distant,N,362,No,Yes
60,AVERY ISD,194902,H,Rural,43.0,Rural-Remote,N,340,Yes,Yes
61,AVINGER ISD,34902,H,Rural,42.0,Rural-Distant,N,153,Yes,Yes
62,AXTELL ISD,161918,H,Rural,42.0,Rural-Distant,N,825,Yes,Yes
63,AZLE ISD,220915,B,Major Suburban,21.0,Suburb-Large,N,6578,No,No
64,BAIRD ISD,30903,H,Rural,42.0,Rural-Distant,N,283,Yes,Yes
65,BALLINGER ISD,200901,G,Non-metropolitan Stable,41.0,Rural-Fringe,N,906,No,Yes
66,BALMORHEA ISD,195902,H,Rural,43.0,Rural-Remote,N,186,Yes,Yes
67,BANDERA ISD,10902,B,Major Suburban,42.0,Rural-Distant,N,2234,No,Yes
68,BANGS ISD,25901,G,Non-metropolitan Stable,42.0,Rural-Distant,N,902,No,Yes
69,BANQUETE ISD,178913,G,Non-metropolitan Stable,42.0,Rural-Distant,N,876,No,Yes
70,BARBERS HILL ISD,36902,D,Other Central City Suburban,41.0,Rural-Fringe,N,5732,No,No
71,BARTLETT ISD,14902,H,Rural,32.0,Town-Distant,N,343,Yes,No
72,BASIS TEXAS,15834,I,Charter School Districts,11.0,City-Large,Y,2597,No,No
73,BASTROP ISD,11901,E,Independent Town,42.0,Rural-Distant,N,11081,No,No
74,BAY CITY ISD,158901,E,Independent Town,32.0,Town-Distant,N,3670,No,No
75,BEATRICE MAYES INSTITUTE CHARTER S,101847,I,Charter School Districts,11.0,City-Large,Y,462,No,No
76,BEAUMONT ISD,123910,C,Other Central City,12.0,City-Midsize,N,18470,No,No
77,BECKVILLE ISD,183901,H,Rural,42.0,Rural-Distant,N,700,Yes,Yes
78,BEEVILLE ISD,13901,E,Independent Town,32.0,Town-Distant,N,3330,No,No
79,BELLEVUE ISD,39904,H,Rural,42.0,Rural-Distant,N,130,Yes,Yes
80,BELLS ISD,91901,H,Rural,42.0,Rural-Distant,N,895,Yes,Yes
81,BELLVILLE ISD,8901,E,Independent Town,32.0,Town-Distant,N,2238,No,No
82,BELTON ISD,14903,D,Other Central City Suburban,23.0,Suburb-Small,N,11885,No,No
83,BEN BOLT-PALITO BLANCO ISD,125902,H,Rural,42.0,Rural-Distant,N,515,Yes,Yes
84,BENAVIDES ISD,66901,H,Rural,43.0,Rural-Remote,N,319,Yes,Yes
85,BENJAMIN ISD,138904,H,Rural,43.0,Rural-Remote,N,118,Yes,Yes
86,BETA ACADEMY,101870,I,Charter School Districts,11.0,City-Large,Y,655,No,No
87,BEXAR COUNTY ACADEMY,15809,I,Charter School Districts,11.0,City-Large,Y,349,No,No
88,BIG SANDY ISD,187901,H,Rural,43.0,Rural-Remote,N,513,Yes,Yes
89,BIG SANDY ISD,230901,H,Rural,42.0,Rural-Distant,N,708,Yes,Yes
90,BIG SPRING ISD,114901,E,Independent Town,32.0,Town-Distant,N,4035,No,No
91,BIG SPRINGS CHARTER SCHOOL,193801,I,Charter School Districts,43.0,Rural-Remote,Y,227,No,Yes
92,BIRDVILLE ISD,220902,B,Major Suburban,21.0,Suburb-Large,N,23614,No,No
93,BISHOP CISD,178902,G,Non-metropolitan Stable,32.0,Town-Distant,N,1524,No,No
94,BLACKWELL CISD,177903,H,Rural,43.0,Rural-Remote,N,152,Yes,Yes
95,BLANCO ISD,16902,G,Non-metropolitan Stable,42.0,Rural-Distant,N,1011,No,Yes
96,BLAND ISD,116915,H,Rural,42.0,Rural-Distant,N,721,Yes,Yes
97,BLANKET ISD,25904,H,Rural,42.0,Rural-Distant,N,167,Yes,Yes
98,BLOOMBURG ISD,34909,H,Rural,42.0,Rural-Distant,N,272,Yes,Yes
99,BLOOMING GROVE ISD,175902,D,Other Central City Suburban,42.0,Rural-Distant,N,930,No,Yes
100,BLOOMINGTON ISD,235901,H,Rural,42.0,Rural-Distant,N,890,Yes,Yes
101,BLUE RIDGE ISD,43917,F,Non-metropolitan Fast Growing,42.0,Rural-Distant,N,852,No,Yes
102,BLUFF DALE ISD,72904,H,Rural,43.0,Rural-Remote,N,237,Yes,Yes
103,BLUM ISD,109913,H,Rural,42.0,Rural-Distant,N,363,Yes,Yes
104,BOB HOPE SCHOOL,123807,I,Charter School Districts,13.0,City-Small,Y,1451,No,No
105,BOERNE ISD,130901,B,Major Suburban,41.0,Rural-Fringe,N,9170,No,No
106,BOLES ISD,116916,H,Rural,41.0,Rural-Fringe,N,547,Yes,Yes
107,BOLING ISD,241901,D,Other Central City Suburban,42.0,Rural-Distant,N,1161,No,Yes
108,BONHAM ISD,74903,E,Independent Town,32.0,Town-Distant,N,1887,No,No
109,BOOKER ISD,148901,H,Rural,43.0,Rural-Remote,N,396,Yes,Yes
110,BORDEN COUNTY ISD,17901,H,Rural,43.0,Rural-Remote,N,214,Yes,Yes
111,BORGER ISD,117901,G,Non-metropolitan Stable,32.0,Town-Distant,N,2694,No,No
112,BOSQUEVILLE ISD,161923,H,Rural,41.0,Rural-Fringe,N,699,Yes,Yes
113,BOVINA ISD,185901,H,Rural,43.0,Rural-Remote,N,500,Yes,Yes
114,BOWIE ISD,169901,G,Non-metropolitan Stable,33.0,Town-Remote,N,1716,No,No
115,BOYD ISD,249902,G,Non-metropolitan Stable,42.0,Rural-Distant,N,1341,No,Yes
116,BOYS RANCH ISD,180901,H,Rural,43.0,Rural-Remote,N,309,Yes,Yes
117,BRACKETT ISD,136901,H,Rural,33.0,Town-Remote,N,560,Yes,No
118,BRADY ISD,160901,G,Non-metropolitan Stable,41.0,Rural-Fringe,N,1146,No,Yes
119,BRAZOS ISD,8903,H,Rural,42.0,Rural-Distant,N,827,Yes,Yes
120,BRAZOS RIVER CHARTER SCHOOL,213801,I,Charter School Districts,42.0,Rural-Distant,Y,238,No,Yes
121,BRAZOS SCHOOL FOR INQUIRY & CREATI,21803,I,Charter School Districts,11.0,City-Large,Y,411,No,No
122,BRAZOSPORT ISD,20905,C,Other Central City,23.0,Suburb-Small,N,12417,No,No
123,BRECKENRIDGE ISD,215901,G,Non-metropolitan Stable,33.0,Town-Remote,N,1481,No,No
124,BREMOND ISD,198901,H,Rural,43.0,Rural-Remote,N,487,Yes,Yes
125,BRENHAM ISD,239901,E,Independent Town,32.0,Town-Distant,N,5062,No,No
126,BRIDGE CITY ISD,181901,G,Non-metropolitan Stable,41.0,Rural-Fringe,N,3057,No,Yes
127,BRIDGEPORT ISD,249903,G,Non-metropolitan Stable,41.0,Rural-Fringe,N,2078,No,Yes
128,BRIDGEWAY PREPARATORY ACADEMY,57851,,,,,Y,23,No,No
129,BROADDUS ISD,203902,H,Rural,43.0,Rural-Remote,N,396,Yes,Yes
130,BROCK ISD,184909,D,Other Central City Suburban,42.0,Rural-Distant,N,1510,No,Yes
131,BRONTE ISD,41901,H,Rural,43.0,Rural-Remote,N,243,Yes,Yes
132,BROOKELAND ISD,121902,H,Rural,43.0,Rural-Remote,N,394,Yes,Yes
133,BROOKESMITH ISD,25908,H,Rural,43.0,Rural-Remote,N,165,Yes,Yes
134,BROOKS ACADEMY OF SCIENCE AND ENGI,15830,I,Charter School Districts,11.0,City-Large,Y,3322,No,No
135,BROOKS COUNTY ISD,24901,D,Other Central City Suburban,33.0,Town-Remote,N,1568,No,No
136,BROWNFIELD ISD,223901,G,Non-metropolitan Stable,32.0,Town-Distant,N,1730,No,No
137,BROWNSBORO ISD,107902,D,Other Central City Suburban,42.0,Rural-Distant,N,2734,No,Yes
138,BROWNSVILLE ISD,31901,C,Other Central City,12.0,City-Midsize,N,44402,No,No
139,BROWNWOOD ISD,25902,E,Independent Town,33.0,Town-Remote,N,3655,No,No
140,BRUCEVILLE-EDDY ISD,161919,H,Rural,42.0,Rural-Distant,N,645,Yes,Yes
141,BRYAN ISD,21902,C,Other Central City,13.0,City-Small,N,15938,No,No
142,BRYSON ISD,119901,H,Rural,43.0,Rural-Remote,N,253,Yes,Yes
143,BUCKHOLTS ISD,166907,H,Rural,42.0,Rural-Distant,N,133,Yes,Yes
144,BUENA VISTA ISD,186901,H,Rural,43.0,Rural-Remote,N,255,Yes,Yes
145,BUFFALO ISD,145901,G,Non-metropolitan Stable,43.0,Rural-Remote,N,945,No,Yes
146,BULLARD ISD,212902,D,Other Central City Suburban,41.0,Rural-Fringe,N,2587,No,Yes
147,BUNA ISD,121903,G,Non-metropolitan Stable,42.0,Rural-Distant,N,1495,No,Yes
148,BURKBURNETT ISD,243901,D,Other Central City Suburban,31.0,Town-Fringe,N,3227,No,No
149,BURKEVILLE ISD,176901,H,Rural,43.0,Rural-Remote,N,276,Yes,Yes
150,BURLESON ISD,126902,C,Other Central City,21.0,Suburb-Large,N,12447,No,No
151,BURNET CISD,27903,D,Other Central City Suburban,41.0,Rural-Fringe,N,3201,No,Yes
152,BURNHAM WOOD CHARTER SCHOOL DISTRI,71801,I,Charter School Districts,11.0,City-Large,Y,850,No,No
153,BURTON ISD,239903,F,Non-metropolitan Fast Growing,42.0,Rural-Distant,N,437,No,Yes
154,BUSHLAND ISD,188904,D,Other Central City Suburban,41.0,Rural-Fringe,N,1427,No,Yes
155,BYNUM ISD,109902,H,Rural,42.0,Rural-Distant,N,207,Yes,Yes
156,CADDO MILLS ISD,116901,G,Non-metropolitan Stable,42.0,Rural-Distant,N,1841,No,Yes
157,CALALLEN ISD,178903,G,Non-metropolitan Stable,11.0,City-Large,N,4051,No,No
158,CALDWELL ISD,26901,D,Other Central City Suburban,41.0,Rural-Fringe,N,1762,No,Yes
159,CALHOUN COUNTY ISD,29901,G,Non-metropolitan Stable,32.0,Town-Distant,N,3846,No,No
160,CALLISBURG ISD,49905,G,Non-metropolitan Stable,42.0,Rural-Distant,N,1152,No,Yes
161,CALVERT ISD,198902,H,Rural,42.0,Rural-Distant,N,166,Yes,Yes
162,CALVIN NELMS CHARTER SCHOOLS,101837,I,Charter School Districts,21.0,Suburb-Large,Y,322,No,No
163,CAMERON ISD,166901,E,Independent Town,41.0,Rural-Fringe,N,1783,No,Yes
164,CAMPBELL ISD,116910,H,Rural,42.0,Rural-Distant,N,304,Yes,Yes
165,CANADIAN ISD,106901,G,Non-metropolitan Stable,33.0,Town-Remote,N,906,No,No
166,CANTON ISD,234902,E,Independent Town,32.0,Town-Distant,N,2176,No,No
167,CANUTILLO ISD,71907,B,Major Suburban,11.0,City-Large,N,6246,No,No
168,CANYON ISD,191901,C,Other Central City,12.0,City-Midsize,N,10166,No,No
169,CARLISLE ISD,201913,H,Rural,42.0,Rural-Distant,N,618,Yes,Yes
170,CARPE DIEM SCHOOLS,15837,I,Charter School Districts,11.0,City-Large,Y,.,No,No
171,CARRIZO SPRINGS CISD,64903,D,Other Central City Suburban,33.0,Town-Remote,N,2219,No,No
172,CARROLL ISD,220919,B,Major Suburban,21.0,Suburb-Large,N,8366,No,No
173,CARROLLTON-FARMERS BRANCH ISD,57903,B,Major Suburban,21.0,Suburb-Large,N,25598,No,No
174,CARTHAGE ISD,183902,G,Non-metropolitan Stable,32.0,Town-Distant,N,2708,No,No
175,CASTLEBERRY ISD,220917,B,Major Suburban,21.0,Suburb-Large,N,3783,No,No
176,CAYUGA ISD,1902,H,Rural,43.0,Rural-Remote,N,564,Yes,Yes
177,CEDAR HILL ISD,57904,B,Major Suburban,21.0,Suburb-Large,N,7790,No,No
178,CEDARS INTERNATIONAL ACADEMY,227817,I,Charter School Districts,11.0,City-Large,Y,548,No,No
179,CELESTE ISD,116902,H,Rural,42.0,Rural-Distant,N,507,Yes,Yes
180,CELINA ISD,43903,F,Non-metropolitan Fast Growing,41.0,Rural-Fringe,N,2722,No,Yes
181,CENTER ISD,210901,G,Non-metropolitan Stable,33.0,Town-Remote,N,2629,No,No
182,CENTER POINT ISD,133901,H,Rural,42.0,Rural-Distant,N,569,Yes,Yes
183,CENTERVILLE ISD,145902,H,Rural,43.0,Rural-Remote,N,656,Yes,Yes
184,CENTERVILLE ISD,228904,H,Rural,43.0,Rural-Remote,N,135,Yes,Yes
185,CENTRAL HEIGHTS ISD,174908,G,Non-metropolitan Stable,41.0,Rural-Fringe,N,1181,No,Yes
186,CENTRAL ISD,3907,G,Non-metropolitan Stable,41.0,Rural-Fringe,N,1465,No,Yes
187,CHANNELVIEW ISD,101905,B,Major Suburban,21.0,Suburb-Large,N,9593,No,No
188,CHANNING ISD,103901,H,Rural,43.0,Rural-Remote,N,182,Yes,Yes
189,CHAPARRAL STAR ACADEMY,227814,I,Charter School Districts,21.0,Suburb-Large,Y,388,No,No
190,CHAPEL HILL ACADEMY,220815,I,Charter School Districts,11.0,City-Large,Y,647,No,No
191,CHAPEL HILL ISD,212909,D,Other Central City Suburban,41.0,Rural-Fringe,N,3536,No,Yes
192,CHAPEL HILL ISD,225906,G,Non-metropolitan Stable,42.0,Rural-Distant,N,1036,No,Yes
193,CHARLOTTE ISD,7901,H,Rural,42.0,Rural-Distant,N,471,Yes,Yes
194,CHEROKEE ISD,206903,H,Rural,43.0,Rural-Remote,N,114,Yes,Yes
195,CHESTER ISD,229906,H,Rural,43.0,Rural-Remote,N,195,Yes,Yes
196,CHICO ISD,249904,H,Rural,42.0,Rural-Distant,N,603,Yes,Yes
197,CHILDRESS ISD,38901,G,Non-metropolitan Stable,33.0,Town-Remote,N,1096,No,No
198,CHILLICOTHE ISD,99902,H,Rural,43.0,Rural-Remote,N,200,Yes,Yes
199,CHILTON ISD,73901,H,Rural,42.0,Rural-Distant,N,528,Yes,Yes
200,CHINA SPRING ISD,161920,D,Other Central City Suburban,41.0,Rural-Fringe,N,2809,No,Yes
201,CHIRENO ISD,174901,H,Rural,43.0,Rural-Remote,N,396,Yes,Yes
202,CHISUM ISD,139905,G,Non-metropolitan Stable,41.0,Rural-Fringe,N,944,No,Yes
203,CHRISTOVAL ISD,226901,H,Rural,42.0,Rural-Distant,N,550,Yes,Yes
204,CISCO ISD,67902,H,Rural,33.0,Town-Remote,N,866,Yes,No
205,CITY VIEW ISD,243906,D,Other Central City Suburban,12.0,City-Midsize,N,1064,No,No
206,CITYSCAPE SCHOOLS,57841,I,Charter School Districts,11.0,City-Large,Y,878,No,No
207,CLARENDON ISD,65901,H,Rural,43.0,Rural-Remote,N,462,Yes,Yes
208,CLARKSVILLE ISD,194904,H,Rural,33.0,Town-Remote,N,534,Yes,No
209,CLAUDE ISD,6902,H,Rural,42.0,Rural-Distant,N,359,Yes,Yes
210,CLEAR CREEK ISD,84910,B,Major Suburban,21.0,Suburb-Large,N,42205,No,No
211,CLEBURNE ISD,126903,D,Other Central City Suburban,41.0,Rural-Fringe,N,6684,No,No
212,CLEVELAND ISD,146901,D,Other Central City Suburban,31.0,Town-Fringe,N,6584,No,No
213,CLIFTON ISD,18901,G,Non-metropolitan Stable,32.0,Town-Distant,N,1002,No,No
214,CLINT ISD,71901,B,Major Suburban,21.0,Suburb-Large,N,11388,No,No
215,CLYDE CISD,30902,D,Other Central City Suburban,32.0,Town-Distant,N,1455,No,No
216,COAHOMA ISD,114902,G,Non-metropolitan Stable,42.0,Rural-Distant,N,1111,No,Yes
217,COLDSPRING-OAKHURST CISD,204901,E,Independent Town,42.0,Rural-Distant,N,1567,No,Yes
218,COLEMAN ISD,42901,H,Rural,33.0,Town-Remote,N,869,Yes,No
219,COLLEGE STATION ISD,21901,C,Other Central City,12.0,City-Midsize,N,13540,No,No
220,COLLINSVILLE ISD,91902,H,Rural,42.0,Rural-Distant,N,528,Yes,Yes
221,COLMESNEIL ISD,229901,H,Rural,42.0,Rural-Distant,N,484,Yes,Yes
222,COLORADO ISD,168901,G,Non-metropolitan Stable,41.0,Rural-Fringe,N,947,No,Yes
223,COLUMBIA-BRAZORIA ISD,20907,D,Other Central City Suburban,32.0,Town-Distant,N,3037,No,No
224,COLUMBUS ISD,45902,G,Non-metropolitan Stable,33.0,Town-Remote,N,1544,No,No
225,COMAL ISD,46902,B,Major Suburban,41.0,Rural-Fringe,N,23935,No,No
226,COMANCHE ISD,47901,G,Non-metropolitan Stable,41.0,Rural-Fringe,N,1314,No,Yes
227,COMFORT ISD,130902,E,Independent Town,32.0,Town-Distant,N,1102,No,No
228,COMMERCE ISD,116903,G,Non-metropolitan Stable,41.0,Rural-Fringe,N,1520,No,Yes
229,COMMUNITY ISD,43918,F,Non-metropolitan Fast Growing,41.0,Rural-Fringe,N,2385,No,Yes
230,COMO-PICKTON CISD,112908,H,Rural,42.0,Rural-Distant,N,742,Yes,Yes
231,COMPASS ACADEMY CHARTER SCHOOL,68802,I,Charter School Districts,12.0,City-Midsize,Y,1116,No,No
232,COMPASS ROSE ACADEMY,15838,I,Charter School Districts,11.0,City-Large,Y,193,No,No
233,COMQUEST ACADEMY,101842,I,Charter School Districts,21.0,Suburb-Large,Y,62,No,No
234,COMSTOCK ISD,233903,H,Rural,43.0,Rural-Remote,N,199,Yes,Yes
235,CONNALLY ISD,161921,D,Other Central City Suburban,22.0,Suburb-Midsize,N,2364,No,No
236,CONROE ISD,170902,C,Other Central City,13.0,City-Small,N,62837,No,No
237,COOLIDGE ISD,147901,H,Rural,42.0,Rural-Distant,N,309,Yes,Yes
238,COOPER ISD,60902,H,Rural,43.0,Rural-Remote,N,812,Yes,Yes
239,COPPELL ISD,57922,B,Major Suburban,21.0,Suburb-Large,N,12925,No,No
240,COPPERAS COVE ISD,50910,D,Other Central City Suburban,22.0,Suburb-Midsize,N,8271,No,No
241,CORPUS CHRISTI ISD,178904,C,Other Central City,11.0,City-Large,N,37318,No,No
242,CORPUS CHRISTI MONTESSORI SCHOOL,178807,I,Charter School Districts,11.0,City-Large,Y,135,No,No
243,CORRIGAN-CAMDEN ISD,187904,H,Rural,43.0,Rural-Remote,N,822,Yes,Yes
244,CORSICANA ISD,175903,D,Other Central City Suburban,32.0,Town-Distant,N,6004,No,No
245,COTTON CENTER ISD,95902,H,Rural,42.0,Rural-Distant,N,125,Yes,Yes
246,COTULLA ISD,142901,D,Other Central City Suburban,33.0,Town-Remote,N,1347,No,No
247,COUPLAND ISD,246914,H,Rural,42.0,Rural-Distant,N,169,Yes,Yes
248,COVINGTON ISD,109903,H,Rural,42.0,Rural-Distant,N,295,Yes,Yes
249,CRANDALL ISD,129901,B,Major Suburban,41.0,Rural-Fringe,N,4420,No,Yes
250,CRANE ISD,52901,D,Other Central City Suburban,32.0,Town-Distant,N,1151,No,No
251,CRANFILLS GAP ISD,18908,H,Rural,43.0,Rural-Remote,N,133,Yes,Yes
252,CRAWFORD ISD,161901,H,Rural,42.0,Rural-Distant,N,585,Yes,Yes
253,CROCKETT COUNTY CONSOLIDATED CSD,53001,H,Rural,33.0,Town-Remote,N,777,Yes,No
254,CROCKETT ISD,113901,G,Non-metropolitan Stable,33.0,Town-Remote,N,1345,No,No
255,CROSBY ISD,101906,B,Major Suburban,41.0,Rural-Fringe,N,6331,No,No
256,CROSBYTON CISD,54901,H,Rural,43.0,Rural-Remote,N,367,Yes,Yes
257,CROSS PLAINS ISD,30901,H,Rural,43.0,Rural-Remote,N,340,Yes,Yes
258,CROSS ROADS ISD,107904,H,Rural,42.0,Rural-Distant,N,558,Yes,Yes
259,CROSSTIMBERS ACADEMY,184801,I,Charter School Districts,41.0,Rural-Fringe,Y,151,No,Yes
260,CROWELL ISD,78901,H,Rural,43.0,Rural-Remote,N,209,Yes,Yes
261,CROWLEY ISD,220912,B,Major Suburban,11.0,City-Large,N,15728,No,No
262,CRYSTAL CITY ISD,254901,G,Non-metropolitan Stable,33.0,Town-Remote,N,1936,No,No
263,CUERO ISD,62901,G,Non-metropolitan Stable,32.0,Town-Distant,N,1989,No,No
264,CULBERSON COUNTY-ALLAMOORE ISD,55901,H,Rural,43.0,Rural-Remote,N,378,Yes,Yes
265,CUMBERLAND ACADEMY,212801,I,Charter School Districts,12.0,City-Midsize,Y,1949,No,No
266,CUMBY ISD,112905,H,Rural,42.0,Rural-Distant,N,386,Yes,Yes
267,CUSHING ISD,174902,H,Rural,43.0,Rural-Remote,N,557,Yes,Yes
268,CYPRESS-FAIRBANKS ISD,101907,B,Major Suburban,21.0,Suburb-Large,N,116512,No,No
269,D'HANIS ISD,163902,H,Rural,42.0,Rural-Distant,N,368,Yes,Yes
270,DAINGERFIELD-LONE STAR ISD,172902,G,Non-metropolitan Stable,32.0,Town-Distant,N,1037,No,No
271,DALHART ISD,56901,G,Non-metropolitan Stable,41.0,Rural-Fringe,N,1737,No,Yes
272,DALLAS ISD,57905,A,Major Urban,11.0,City-Large,N,155119,No,No
273,DAMON ISD,20910,H,Rural,42.0,Rural-Distant,N,156,Yes,Yes
274,DANBURY ISD,20904,H,Rural,41.0,Rural-Fringe,N,801,Yes,Yes
275,DARROUZETT ISD,148905,H,Rural,43.0,Rural-Remote,N,118,Yes,Yes
276,DAWSON ISD,58902,H,Rural,43.0,Rural-Remote,N,108,Yes,Yes
277,DAWSON ISD,175904,H,Rural,43.0,Rural-Remote,N,512,Yes,Yes
278,DAYTON ISD,146902,E,Independent Town,32.0,Town-Distant,N,5418,No,No
279,DE LEON ISD,47902,H,Rural,43.0,Rural-Remote,N,741,Yes,Yes
280,DECATUR ISD,249905,E,Independent Town,32.0,Town-Distant,N,3413,No,No
281,DEER PARK ISD,101908,B,Major Suburban,21.0,Suburb-Large,N,12937,No,No
282,DEKALB ISD,19901,H,Rural,42.0,Rural-Distant,N,800,Yes,Yes
283,DEL VALLE ISD,227910,B,Major Suburban,41.0,Rural-Fringe,N,10870,No,No
