distname,district_id,county,dflchart,dflalted,asvab_status,tea description,nces description,charter school (y/n),tea district type,nces district type,region,cntyname,district 2023 staff: teacher student ratio,district 2022-23 total students count,district 2023 staff: all staff total full time equiv count,district 2022-23 african american students percent,district 2022-23 american indian students percent,district 2022-23 asian students percent,district 2022-23 hispanic students percent,district 2022-23 pacific islander students percent,district 2022-23 white students percent,district 2022-23 two or more races students percent,district 2022-23 economically disadvantaged students percent,district 2022-23 title i students percent,district 2022-23 special education students percent,district 2022-23 section 504 students percent,district 2022-23 bilingual/esl education students percent,district 2022-23 emergent bilingual/english learner students percent,district 2022-23 homeless students percent,district 2022-23 immigrant students percent,district 2022-23 migrant students percent,district 2022-23 military connected students percent,district 2022-23 foster care students percent,district 2022-23 gifted & talented education students percent
ARANSAS COUNTY ISD,4901,'004,N,N, ,Independent Town,Town-Distant,N,E,32,'02,ARANSAS,14.6,3044.0,464.9,1.8,0.3,1.9,44.1,0.2,48.8,3.0,68.9,100.0,15.0,10.2,5.7,5.7,8.7,1.2,0.0,1.1,1.1,4.4
ARCHER CITY ISD,5901,'005,N,N, ,Rural,Rural-Distant,N,H,42,'09,ARCHER,10.4,493.0,91.2,1.4,0.8,0.4,13.6,0.0,79.5,4.3,51.3,58.0,16.4,9.1,1.4,1.4,4.9,1.0,0.0,7.3,0.0,5.5
HOLLIDAY ISD,5902,'005,N,N, ,Other Central City Suburban,Rural-Distant,N,D,42,'09,ARCHER,13.0,1137.0,149.6,0.3,0.6,0.2,9.5,0.1,86.1,3.3,22.4,45.0,14.1,11.7,0.6,0.6,0.5,0.0,0.0,4.8,0.8,5.9
WINDTHORST ISD,5904,'005,N,N, ,Non-metropolitan Fast Growing,Rural-Distant,N,F,42,'09,ARCHER,14.1,527.0,72.3,0.8,0.2,0.6,24.3,0.0,74.0,0.2,40.6,49.7,8.2,12.0,6.5,5.9,0.0,0.2,0.0,2.1,0.0,7.6
CLAUDE ISD,6902,'006,N,N, ,Rural,Rural-Distant,N,H,42,'16,ARMSTRONG,10.4,328.0,53.3,1.5,0.6,0.0,14.9,0.0,79.3,3.7,34.1,100.0,11.0,7.9,1.5,1.5,0.0,0.0,0.0,7.3,2.1,7.0
CHARLOTTE ISD,7901,'007,N,N, ,Rural,Rural-Distant,N,H,42,'20,ATASCOSA,9.1,433.0,95.3,0.5,0.0,0.0,84.8,0.0,14.5,0.2,62.8,100.0,14.5,13.9,5.8,6.0,0.0,0.0,0.2,1.8,0.2,2.3
JOURDANTON ISD,7902,'007,N,N, ,Non-metropolitan Stable,Town-Distant,N,G,32,'20,ATASCOSA,13.0,1590.0,240.6,0.6,0.1,0.4,61.0,0.1,36.7,1.1,57.6,71.2,15.8,12.4,3.2,3.6,0.8,0.2,0.4,1.3,0.6,4.2
LYTLE ISD,7904,'007,N,N, ,Non-metropolitan Stable,Town-Fringe,N,G,31,'20,ATASCOSA,14.5,1810.0,292.5,0.6,0.3,0.3,83.5,0.0,14.3,1.0,74.9,72.3,12.2,6.8,14.6,15.1,0.3,0.0,0.2,10.2,0.7,3.1
PLEASANTON ISD,7905,'007,N,N, ,Independent Town,Town-Distant,N,E,32,'20,ATASCOSA,14.0,3384.0,490.6,0.6,0.2,0.4,72.2,0.1,25.4,1.0,67.0,99.6,14.5,11.5,5.3,6.0,1.4,0.3,0.3,3.1,0.3,4.8
POTEET ISD,7906,'007,N,N, ,Non-metropolitan Stable,Town-Distant,N,G,32,'20,ATASCOSA,15.0,1837.0,264.5,0.6,0.0,0.0,88.4,0.0,10.6,0.4,75.4,100.0,13.7,10.8,11.9,9.9,1.1,0.0,0.5,0.3,0.3,5.4
BELLVILLE ISD,8901,'008,N,N, ,Independent Town,Town-Distant,N,E,32,'06,AUSTIN,13.3,2251.0,343.7,7.0,0.2,0.4,31.4,0.1,57.6,3.3,46.9,36.9,13.5,11.7,9.9,10.0,0.9,0.3,0.1,3.1,0.1,10.8
SEALY ISD,8902,'008,N,N, ,Independent Town,Rural-Fringe,N,E,41,'06,AUSTIN,14.4,2908.0,379.3,8.1,0.2,1.0,54.0,0.2,33.3,3.2,64.9,46.1,15.7,9.6,19.5,19.1,1.0,1.2,0.0,3.2,0.2,5.0
BRAZOS ISD,8903,'008,N,N, ,Rural,Rural-Distant,N,H,42,'06,AUSTIN,13.3,851.0,134.7,5.3,0.0,0.2,56.5,0.1,34.0,3.9,62.7,41.5,15.0,11.2,15.5,17.3,0.4,0.1,0.0,2.1,0.0,4.2
MULESHOE ISD,9901,'009,N,N, ,Non-metropolitan Stable,Town-Remote,N,G,33,'17,BAILEY,11.8,1347.0,226.9,0.4,0.1,0.4,87.2,0.1,11.7,0.1,89.5,100.0,14.4,3.3,33.6,33.7,0.0,6.2,7.0,0.5,0.9,2.7
MEDINA ISD,10901,'010,N,N, ,Rural,Rural-Remote,N,H,43,'20,BANDERA,6.9,246.0,73.3,3.7,0.0,0.0,29.7,0.0,63.0,3.7,65.4,100.0,15.0,9.3,1.2,1.2,28.0,0.4,0.0,2.8,0.0,6.5
BANDERA ISD,10902,'010,N,N, ,Non-metropolitan Stable,Rural-Distant,N,G,42,'20,BANDERA,15.6,2381.0,316.2,0.5,0.2,0.4,33.9,0.0,62.2,2.7,56.3,46.7,17.1,8.9,5.4,5.5,1.6,0.4,0.0,7.7,0.5,5.5
BASTROP ISD,11901,'011,N,N, ,Other Central City,Rural-Distant,N,C,42,'13,BASTROP,15.9,12506.0,1424.9,2.8,0.2,0.4,74.1,0.1,19.8,2.7,76.6,68.0,13.1,10.3,40.3,41.0,3.9,2.1,0.3,0.6,0.3,7.2
ELGIN ISD,11902,'011,N,N, ,Other Central City Suburban,Town-Fringe,N,D,31,'13,BASTROP,17.6,5404.0,767.9,9.2,0.1,0.3,75.9,0.2,11.6,2.7,80.2,53.2,13.3,7.7,46.9,44.8,3.1,1.2,1.1,0.1,0.2,8.4
SMITHVILLE ISD,11904,'011,N,N, ,Other Central City Suburban,Rural-Fringe,N,D,41,'13,BASTROP,14.6,1885.0,265.2,5.8,0.1,0.6,35.2,0.1,53.8,4.4,54.6,100.0,14.7,9.2,8.9,9.6,0.3,0.0,0.2,7.1,0.1,6.8
MCDADE ISD,11905,'011,N,N, ,Rural,Rural-Distant,N,H,42,'13,BASTROP,11.3,356.0,67.3,0.3,0.0,0.0,56.5,0.6,40.2,2.5,51.7,100.0,16.6,9.8,23.0,23.6,7.0,0.3,0.8,0.8,0.8,5.1
SEYMOUR ISD,12901,'012,N,N, ,Rural,Rural-Remote,N,H,43,'09,BAYLOR,11.7,644.0,108.1,2.0,0.3,0.2,23.8,0.0,65.8,7.9,61.5,100.0,19.9,15.2,1.4,1.4,0.9,0.2,0.8,0.5,0.2,3.0
ST MARY'S ACADEMY CHARTER SCHOOL,13801,'013,Y,N, ,Charter Schools,Town-Distant,Y,I,32,'02,BEE,16.2,381.0,69.9,1.0,0.0,1.8,84.0,0.0,11.3,1.8,85.0,100.0,14.2,3.1,2.9,2.9,0.8,0.0,0.0,1.6,1.0,7.3
BEEVILLE ISD,13901,'013,N,N, ,Independent Town,Town-Distant,N,E,32,'02,BEE,16.7,3097.0,464.6,2.0,0.1,0.2,85.2,0.0,11.5,1.0,81.4,100.0,14.8,4.7,2.5,2.5,0.2,0.0,0.1,0.9,0.1,5.0
PAWNEE ISD,13902,'013,N,N, ,Non-metropolitan Fast Growing,Rural-Remote,N,F,43,'02,BEE,19.9,465.0,134.4,19.4,0.0,0.0,63.0,0.9,14.8,1.9,89.0,100.0,5.8,1.3,0.4,0.6,11.0,0.0,0.0,0.4,0.6,0.9
PETTUS ISD,13903,'013,N,N, ,Rural,Rural-Distant,N,H,42,'02,BEE,11.7,401.0,74.7,1.7,0.2,0.0,62.1,0.0,35.7,0.2,69.6,100.0,13.0,7.7,1.0,1.0,1.0,0.2,0.5,4.0,0.0,4.0
SKIDMORE-TYNAN ISD,13905,'013,N,N, ,Rural,Rural-Distant,N,H,42,'02,BEE,10.9,752.0,134.0,0.5,0.1,0.8,72.1,0.1,25.5,0.8,67.2,100.0,10.8,8.8,2.1,2.3,1.1,0.0,0.0,5.7,0.1,9.6
RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),14801,'014,Y,Y, ,Charter Schools,City-Midsize,Y,I,12,'20,BELL,30.0,1693.0,144.9,15.4,0.2,0.3,65.4,0.3,16.0,2.4,65.4,100.0,11.2,5.3,9.9,10.4,0.6,0.0,0.1,1.2,0.2,0.0
PRIORITY CHARTER SCHOOLS,14803,'014,Y,N, ,Charter Schools,Suburb-Midsize,Y,I,22,'12,BELL,12.9,751.0,125.4,19.8,0.3,2.8,32.8,1.1,34.8,8.5,63.8,99.9,15.3,12.6,5.9,5.7,2.0,0.4,0.0,11.5,0.1,6.1
ORENDA CHARTER SCHOOL,14804,'014,Y,N, ,Charter Schools,Rural-Fringe,Y,I,41,'12,BELL,16.5,1878.0,189.7,5.8,0.3,9.6,23.0,0.3,54.7,6.4,13.4,8.8,12.8,11.2,3.0,4.0,0.2,0.8,0.0,15.1,2.6,0.0
ACADEMY ISD,14901,'014,N,N, ,Non-metropolitan Stable,Rural-Fringe,N,G,41,'12,BELL,15.7,1835.0,241.1,6.0,0.3,1.0,26.6,0.3,60.6,5.2,43.1,100.0,12.6,11.3,6.3,6.6,1.7,0.3,0.0,13.5,0.6,7.8
BARTLETT ISD,14902,'014,N,N, ,Non-metropolitan Fast Growing,Town-Distant,N,F,32,'13,BELL,11.4,461.0,79.6,9.8,0.0,0.2,61.0,0.0,26.7,2.4,99.6,100.0,10.8,8.7,22.8,22.6,5.6,0.0,0.0,0.2,0.0,3.3
BELTON ISD,14903,'014,N,N, ,Other Central City Suburban,City-Small,N,D,13,'12,BELL,14.0,13644.0,2033.6,7.4,0.4,1.9,35.1,0.3,48.6,6.2,43.9,22.6,16.8,12.5,6.9,6.6,1.2,0.3,0.0,29.4,0.4,8.3
HOLLAND ISD,14905,'014,N,N, ,Rural,Rural-Distant,N,H,42,'12,BELL,9.6,634.0,123.3,2.4,0.0,0.0,26.8,0.0,67.8,3.0,41.2,70.2,13.4,12.8,3.3,3.3,0.3,0.0,0.0,1.6,0.2,7.1
KILLEEN ISD,14906,'014,N,N, ,Other Central City,City-Midsize,N,C,12,'12,BELL,15.7,43935.0,6269.8,33.4,0.5,2.3,33.9,2.1,18.3,9.6,60.3,61.0,15.6,10.7,11.1,11.9,0.8,0.4,0.0,45.8,0.4,3.2
ROGERS ISD,14907,'014,N,N, ,Rural,Rural-Distant,N,H,42,'12,BELL,12.2,880.0,137.7,1.0,0.2,0.6,31.8,0.0,64.3,2.0,44.8,47.3,11.6,12.6,7.5,7.5,0.6,1.3,0.0,5.2,0.9,8.3
SALADO ISD,14908,'014,N,N, ,Other Central City Suburban,Rural-Distant,N,D,42,'12,BELL,15.5,2336.0,283.7,1.4,0.1,0.3,25.3,0.3,68.5,4.2,27.8,44.1,10.7,10.9,6.1,6.1,0.1,0.6,0.0,26.8,0.4,6.7
TEMPLE ISD,14909,'014,N,N, ,Other Central City Suburban,City-Small,N,D,13,'12,BELL,13.9,8615.0,1321.5,22.4,0.4,1.3,47.6,0.3,22.0,6.0,71.4,67.6,17.9,9.4,14.7,14.9,5.3,0.9,0.0,10.3,0.7,7.0
TROY ISD,14910,'014,N,N, ,Non-metropolitan Stable,Rural-Fringe,N,G,41,'12,BELL,14.6,1690.0,213.8,1.8,0.3,0.2,32.1,0.2,60.5,4.9,53.6,71.1,17.9,12.7,5.7,5.7,2.1,0.1,0.0,7.0,0.7,5.2
POR VIDA ACADEMY,15801,'015,Y,Y, ,Charter Schools,City-Large,Y,I,11,'20,BEXAR,10.1,135.0,44.3,0.7,0.0,0.0,89.6,0.7,8.1,0.7,83.7,100.0,14.1,9.6,0.0,0.0,5.2,0.0,0.0,1.5,0.7,0.0
GEORGE GERVIN ACADEMY,15802,'015,Y,N, ,Charter Schools,City-Large,Y,I,11,'20,BEXAR,14.9,689.0,105.4,43.5,0.3,0.4,51.4,0.1,2.5,1.7,100.0,100.0,12.3,1.7,17.4,15.8,4.6,0.0,0.0,0.3,0.4,1.0
NEW FRONTIERS PUBLIC SCHOOLS INC,15805,'015,Y,N, ,Charter Schools,City-Large,Y,I,11,'20,BEXAR,14.4,171.0,41.5,1.2,0.0,0.0,92.4,0.0,5.8,0.6,67.8,100.0,4.1,13.5,9.4,9.4,1.8,0.0,0.0,0.6,0.0,0.0
LEGACY TRADITIONAL SCHOOLS - TEXAS,15806,'015,Y,N, ,Charter Schools,Suburb-Large,Y,I,21,'20,BEXAR,15.3,931.0,86.0,16.5,0.1,2.1,55.3,0.6,19.2,6.0,49.6,100.0,9.8,0.2,10.1,10.5,1.6,0.2,0.0,25.3,0.2,0.0
SOUTHWEST PREPARATORY SCHOOL,15807,'015,Y,N, ,Charter Schools,City-Large,Y,I,11,'20,BEXAR,10.5,787.0,160.8,11.6,0.1,0.1,69.4,0.0,17.7,1.1,81.2,100.0,13.1,7.1,10.5,11.1,1.7,0.9,0.1,2.4,0.1,3.4
INSPIRE ACADEMIES,15808,'015,Y,N,ASVAB Test not Offered,Charter Schools,City-Large,Y,I,11,'20,BEXAR,15.3,735.0,114.9,10.9,0.1,0.8,53.1,0.1,32.5,2.4,55.4,100.0,17.8,13.1,2.9,3.1,0.0,0.0,0.1,0.5,5.4,0.0
BEXAR COUNTY ACADEMY,15809,'015,Y,N, ,Charter Schools,City-Large,Y,I,11,'20,BEXAR,15.9,238.0,40.5,2.1,0.4,0.8,91.2,0.4,3.4,1.7,94.1,98.7,7.1,1.3,13.0,16.8,0.0,0.4,0.8,1.3,0.4,0.0
POSITIVE SOLUTIONS CHARTER SCHOOL,15814,'015,Y,Y, ,Charter Schools,City-Large,Y,I,11,'20,BEXAR,14.1,101.0,15.6,2.0,0.0,0.0,93.1,0.0,5.0,0.0,89.1,100.0,21.8,6.9,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
HERITAGE ACADEMY,15815,'015,Y,Y, ,Charter Schools,Town-Remote,Y,I,33,'20,BEXAR,11.6,542.0,82.0,5.9,0.4,0.6,83.9,0.0,7.4,1.8,86.3,100.0,11.6,6.1,56.8,57.4,2.4,0.0,0.0,2.2,0.2,1.3
JUBILEE ACADEMIES,15822,'015,Y,N, ,Charter Schools,City-Large,Y,I,11,'20,BEXAR,16.8,6192.0,1005.8,5.2,0.4,0.5,86.8,0.0,6.0,1.1,84.5,100.0,9.2,6.2,25.9,27.0,1.3,1.7,0.1,2.1,0.1,5.6
LIGHTHOUSE PUBLIC SCHOOLS,15825,'015,Y,N,ASVAB Test not Offered,Charter Schools,City-Large,Y,I,11,'20,BEXAR,16.9,422.0,50.5,6.2,0.0,0.2,87.9,0.0,5.0,0.7,89.1,100.0,17.8,4.3,27.5,28.2,2.8,0.5,0.0,3.6,0.5,1.7
SCHOOL OF SCIENCE AND TECHNOLOGY,15827,'015,Y,N, ,Charter Schools,Suburb-Large,Y,I,21,'20,BEXAR,13.3,4315.0,523.8,23.4,0.5,3.7,51.5,0.1,16.9,3.9,60.8,91.1,12.1,4.0,19.8,21.3,0.4,0.4,0.0,0.7,0.1,8.9
HARMONY PUBLIC SCHOOLS - SOUTH TEXAS,15828,'015,Y,N, ,Charter Schools,City-Large,Y,I,11,'20,BEXAR,13.7,4826.0,567.0,4.2,0.1,1.4,88.7,0.1,4.4,1.2,84.3,100.0,9.1,5.3,40.8,42.3,1.2,0.0,0.1,0.7,0.0,7.3
SOMERSET ACADEMIES OF TEXAS,15830,'015,Y,N, ,Charter Schools,City-Large,Y,I,11,'20,BEXAR,17.0,3097.0,391.0,5.6,0.2,2.1,82.0,0.1,8.5,1.5,75.4,99.9,15.0,4.6,8.9,8.2,0.0,0.2,0.1,3.6,0.1,11.4
SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,15831,'015,Y,N, ,Charter Schools,Rural-Fringe,Y,I,41,'20,BEXAR,13.2,5644.0,697.8,21.9,0.2,7.0,54.7,0.1,13.4,2.9,64.7,93.1,11.5,4.7,16.1,16.8,0.5,0.4,0.0,0.6,0.1,9.7
HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN,15833,'015,Y,N, ,Charter Schools,City-Large,Y,I,11,'20,BEXAR,13.5,75.0,11.3,6.7,0.0,0.0,76.0,0.0,13.3,4.0,48.0,100.0,12.0,17.3,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0
BASIS TEXAS,15834,'015,Y,N, ,Charter Schools,City-Large,Y,I,11,'20,BEXAR,12.8,4972.0,146.6,5.9,0.7,45.1,25.1,0.0,18.1,5.1,5.3,0.0,3.9,3.9,12.0,12.8,0.0,1.1,0.0,3.3,0.0,0.0
GREAT HEARTS TEXAS,15835,'015,Y,N,ASVAB Test not Offered,Charter Schools,City-Large,Y,I,11,'20,BEXAR,19.9,9970.0,1332.0,6.3,0.4,13.2,39.8,0.1,37.5,2.7,26.1,12.3,8.8,6.9,8.9,9.9,0.0,0.6,0.0,6.8,0.1,0.0
ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,15836,'015,Y,N, ,Charter Schools,City-Large,Y,I,11,'20,BEXAR,13.3,478.0,51.9,1.7,0.2,5.4,52.1,0.0,35.8,4.8,18.2,0.0,7.7,7.1,8.8,10.3,0.0,2.5,0.0,11.7,0.0,0.0
COMPASS ROSE PUBLIC SCHOOLS,15838,'015,Y,N,ASVAB Test not Offered,Charter Schools,City-Large,Y,I,11,'20,BEXAR,19.5,2702.0,292.5,10.5,0.5,1.6,73.5,0.2,11.9,1.9,70.8,41.0,11.6,6.5,10.5,13.2,0.0,0.2,0.1,1.4,0.1,0.0
PROMESA ACADEMY CHARTER SCHOOL,15839,'015,Y,N, ,Charter Schools,City-Large,Y,I,11,'20,BEXAR,10.1,313.0,53.5,5.8,0.0,1.3,78.6,0.0,13.4,1.0,68.7,100.0,21.7,3.8,7.7,7.7,0.0,0.0,0.0,4.2,0.0,0.0
SAN ANTONIO PREPARATORY SCHOOLS,15840,'015,Y,N,ASVAB Test not Offered,Charter Schools,City-Large,Y,I,11,'20,BEXAR,19.0,156.0,13.8,63.5,0.0,0.0,28.2,0.6,3.2,4.5,48.7,0.0,10.9,1.9,0.0,0.0,0.0,0.0,0.0,12.2,0.0,0.0
THE GATHERING PLACE,15841,'015,Y,N, ,Charter Schools,City-Large,Y,I,11,'20,BEXAR,21.1,628.0,72.5,9.4,1.3,1.0,60.8,0.0,21.3,6.2,65.6,98.6,14.6,0.3,2.7,3.7,0.0,0.0,0.0,1.0,0.3,0.0
ROYAL PUBLIC SCHOOLS,15842,'015,Y,N, ,Charter Schools,City-Large,Y,I,11,'20,BEXAR,12.4,192.0,28.9,3.1,0.0,0.5,88.5,0.0,6.8,1.0,98.4,100.0,10.9,1.6,7.3,9.4,0.0,0.5,0.0,0.5,0.0,0.5
PRELUDE PREPARATORY CHARTER SCHOOL,15843,'015,Y,N, ,Charter Schools,City-Large,Y,I,11,'20,BEXAR,12.6,98.0,11.8,5.1,0.0,2.0,85.7,0.0,7.1,0.0,84.7,0.0,15.3,1.0,16.3,16.3,0.0,3.1,0.0,3.1,2.0,0.0
ESSENCE PREPARATORY CHARTER SCHOOL,15844,'015,Y,N, ,Charter Schools,City-Large,Y,I,11,'20,BEXAR,9.0,103.0,25.1,72.8,0.0,0.0,25.2,0.0,0.0,1.9,73.8,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ALAMO HEIGHTS ISD,15901,'015,N,N, ,Major Suburban,City-Large,N,B,11,'20,BEXAR,13.2,4762.0,659.9,2.0,0.3,2.8,39.8,0.1,52.6,2.4,21.5,1.3,11.8,13.9,12.7,7.3,0.2,1.5,0.0,8.0,0.2,21.9
HARLANDALE ISD,15904,'015,N,N, ,Major Suburban,City-Large,N,B,11,'20,BEXAR,14.4,12174.0,1972.2,0.5,0.0,0.1,97.2,0.0,2.0,0.2,87.8,94.2,12.9,7.8,22.1,19.8,0.7,3.1,0.1,1.0,0.2,6.7
EDGEWOOD ISD,15905,'015,N,N, ,Major Suburban,City-Large,N,B,11,'20,BEXAR,14.8,8177.0,1314.0,1.4,0.0,1.1,96.3,0.0,0.8,0.2,94.1,100.0,12.8,6.7,24.3,24.4,1.4,0.4,0.4,0.0,0.1,2.7
RANDOLPH FIELD ISD,15906,'015,N,N, ,Other Central City Suburban,Rural-Fringe,N,D,41,'20,BEXAR,14.6,1462.0,200.2,17.8,0.2,2.3,28.2,0.5,37.3,13.6,6.8,2.0,11.6,9.8,0.3,0.4,0.0,2.9,0.0,73.4,0.2,9.5
SAN ANTONIO ISD,15907,'015,N,N, ,Major Urban,City-Large,N,A,11,'20,BEXAR,15.1,45255.0,7027.5,5.6,0.1,0.5,90.1,0.0,3.0,0.7,88.5,98.6,14.6,4.9,25.9,23.5,2.6,2.1,0.1,2.4,0.2,7.3
SOUTH SAN ANTONIO ISD,15908,'015,N,N, ,Major Suburban,City-Large,N,B,11,'20,BEXAR,15.5,7872.0,1151.5,1.3,0.2,0.2,95.2,0.1,2.8,0.3,93.6,100.0,14.9,5.3,21.0,21.0,0.5,1.7,0.1,0.4,0.3,6.0
SOMERSET ISD,15909,'015,N,N, ,Non-metropolitan Stable,Rural-Fringe,N,G,41,'20,BEXAR,15.9,4147.0,598.8,0.5,0.1,0.2,91.7,0.1,6.8,0.7,86.1,96.6,12.1,5.6,21.0,22.1,0.6,0.4,0.6,0.4,0.6,5.0
NORTH EAST ISD,15910,'015,N,N, ,Major Urban,City-Large,N,A,11,'20,BEXAR,14.4,59007.0,8066.5,6.9,0.2,4.3,61.5,0.1,22.9,4.0,52.4,32.7,14.3,8.1,20.6,18.3,1.0,4.5,0.0,10.8,0.2,9.0
EAST CENTRAL ISD,15911,'015,N,N, ,Major Suburban,Rural-Fringe,N,B,41,'20,BEXAR,17.1,10617.0,1343.0,8.8,0.2,0.6,74.4,0.1,13.8,2.1,59.6,66.8,13.3,7.4,15.9,13.6,0.4,0.7,0.1,4.3,0.2,7.2
SOUTHWEST ISD,15912,'015,N,N, ,Major Suburban,Rural-Fringe,N,B,41,'20,BEXAR,14.4,13747.0,2090.6,3.6,0.1,0.5,89.7,0.1,4.9,1.2,81.4,100.0,17.6,7.8,19.0,19.1,2.1,1.0,0.3,3.6,0.4,10.6
LACKLAND ISD,15913,'015,N,N, ,Non-metropolitan Stable,Suburb-Large,N,G,21,'20,BEXAR,11.0,968.0,195.0,13.0,0.2,1.2,26.8,0.3,45.0,13.4,16.7,7.1,12.0,6.1,1.5,1.9,0.1,0.0,0.0,90.9,0.1,7.1
